['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 0', 'Squat Jump', '12/18/2019 15:30', '87.3', 'Trial 4', '', '', '', '', '0.1', '-19.1', '-19.2', '-19.7', '4.7', '0.1', '-41.8', '21.9', '-21.4', '26.1', '', '10.7', '-9.8', '6.2', '15.4', '-2.8', '3.7', '', '6.9', '-68.4', '81.8', '47.0', '', '', '323.4', '323.9', '39.6', '32.0', '0.12', '0.10', '21.4', '17.2', '4510', '4732', '637', '638', '-1177', '-830', '1081', '1384', '-1474', '-1214', '1232', '1668', '', '', '842', '944', '127.6', '115.1', '195.8', '208.8', '1.53', '1.81', '644.8', '626.6', '259.8', '269.9', '', '', '941', '1010', '159.0', '50.2', '4433', '24334', '993', '1874']
['Athlete 1', 'Squat Jump', '12/12/2019 17:06', '89.5', 'Trial 1', '', '', '', '', '-1.1', '6.1', '7.2', '7.3', '-0.9', '-1.1', '45.2', '100.0', '62.5', '-7.9', '', '-1.0', '-1.1', '-1.2', '-0.1', '4.7', '-1.8', '', '-1.6', '21.9', '27.1', '21.4', '', '', '358.1', '354.0', '39.0', '41.5', '0.11', '0.12', '20.2', '21.8', '5328', '5278', '657', '650', '-589', '-855', '-69', '-313', '-336', '-546', '1686', '1554', '', '', '1028', '1017', '114.6', '113.4', '243.4', '240.5', '2.12', '2.12', '607.7', '637.9', '275.1', '270.0', '', '', '1130', '1112', '42.6', '54.6', '26268', '36053', '1812', '2307']
['Athlete 1', 'Squat Jump', '12/12/2019 17:06', '89.5', 'Trial 2', '', '', '', '', '0.2', '2.1', '1.9', '1.7', '-6.2', '0.2', '0.8', '-7.9', '-17.8', '-7.3', '', '-1.6', '2.3', '-1.5', '-3.8', '0.0', '0.1', '', '-2.9', '27.9', '13.1', '3.5', '', '', '247.8', '248.2', '61.9', '63.2', '0.25', '0.25', '25.9', '26.3', '5154', '4832', '813', '815', '3705', '3735', '3733', '3438', '4040', '3320', '3689', '3419', '', '', '1010', '993', '110.3', '112.9', '137.4', '135.3', '1.25', '1.20', '621.6', '621.8', '243.8', '244.0', '', '', '1185', '1150', '42.8', '59.4', '19070', '21954', '1526', '1581']
['Athlete 2', 'Squat Jump', '12/12/2019 17:05', '91.4', 'Trial 1', '', '', '', '', '-1.8', '5.0', '6.7', '4.1', '3.2', '-1.8', '-100.0', '2.1', '100.0', '-17.0', '', '-6.9', '3.4', '-5.4', '-8.6', '-0.8', '-3.3', '', '-8.5', '12.1', '-6.9', '-2.7', '', '', '368.0', '361.4', '42.0', '44.3', '0.11', '0.12', '21.2', '22.1', '3790', '3914', '682', '670', '-174', '-50', '1424', '1455', '-286', '38', '1204', '999', '', '', '922', '859', '150.0', '155.3', '218.0', '206.2', '1.45', '1.33', '409.9', '406.6', '316.1', '305.7', '', '', '981', '898', '55.9', '63.6', '56879', '52980', '3811', '3709']
['Athlete 2', 'Squat Jump', '12/12/2019 17:05', '91.4', 'Trial 2', '', '', '', '', '-4.6', '-8.5', '-4.1', '-9.0', '11.0', '-4.6', '2.2', '13.1', '-10.1', '-3.6', '', '-6.4', '-4.3', '-4.8', '-0.4', '-17.1', '-4.5', '', '-6.0', '0.4', '-26.8', '-12.6', '', '', '330.1', '315.0', '58.0', '53.1', '0.18', '0.17', '25.6', '23.3', '3384', '3804', '736', '702', '2539', '2595', '1477', '1701', '1696', '1524', '1251', '1205', '', '', '906', '847', '155.3', '148.6', '174.8', '166.4', '1.13', '1.12', '801.2', '664.0', '325.7', '311.1', '', '', '936', '880', '55.6', '55.8', '37956', '27799', '2353', '2057']
['Athlete 3', 'Squat Jump', '12/12/2019 16:47', '83.8', 'Trial 1', '', '', '', '', '4.5', '8.0', '3.6', '8.2', '10.4', '4.6', '-4.4', '6.5', '19.9', '-13.3', '', '-1.0', '8.1', '2.0', '-6.2', '9.0', '4.3', '', '-4.3', '6.0', '6.9', '-2.4', '', '', '293.4', '307.4', '42.1', '45.7', '0.14', '0.15', '20.7', '22.5', '3096', '3456', '635', '666', '428', '409', '1326', '1418', '298', '372', '1577', '1367', '', '', '943', '934', '118.1', '128.5', '175.3', '178.8', '1.48', '1.39', '525.0', '576.9', '290.3', '303.3', '', '', '1003', '960', '39.6', '42.1', '75609', '81188', '4158', '4059']
['Athlete 3', 'Squat Jump', '12/12/2019 16:47', '83.8', 'Trial 2', '', '', '', '', '4.6', '8.2', '3.7', '7.4', '9.4', '4.6', '12.3', '6.4', '27.0', '-2.5', '', '0.8', '6.5', '2.9', '-3.7', '-4.2', '4.3', '', '0.3', '26.0', '-35.4', '-23.3', '', '', '260.2', '272.8', '54.0', '58.8', '0.21', '0.22', '22.9', '24.8', '3692', '4076', '675', '707', '2738', '3122', '1511', '1614', '2478', '3394', '1810', '1764', '', '', '933', '940', '120.0', '128.4', '140.2', '144.4', '1.17', '1.12', '547.6', '524.7', '257.3', '268.9', '', '', '969', '972', '33.6', '45.4', '85398', '55154', '4099', '3144']
['Athlete 4', 'Squat Jump', '12/12/2019 16:45', '90', 'Trial 1', '', '', '', '', '-7.8', '-7.5', '0.4', '-6.7', '-18.1', '-7.9', '-20.1', '-11.8', '-92.1', '-2.3', '', '-1.8', '-9.7', '-6.5', '3.4', '8.4', '-7.0', '', '-3.3', '18.4', '-10.8', '-4.3', '', '', '298.5', '275.1', '50.0', '46.3', '0.17', '0.17', '24.0', '22.4', '6308', '5166', '801', '738', '1574', '1258', '2763', '2437', '632', '50', '2287', '2235', '', '', '1045', '1026', '123.7', '111.7', '174.8', '163.4', '1.41', '1.46', '573.1', '625.9', '293.9', '273.2', '', '', '1117', '1081', '39.6', '48.5', '40589', '36220', '2232', '2137']
['Athlete 4', 'Squat Jump', '12/12/2019 16:45', '90', 'Trial 2', '', '', '', '', '-10.4', '-19.3', '-10.0', '-19.4', '-5.1', '-10.4', '-18.4', '4.9', '-36.1', '9.4', '', '-1.0', '-15.6', '-5.9', '10.2', '-6.0', '-9.1', '', '-1.2', '-47.0', '-18.5', '-22.6', '', '', '284.3', '254.8', '66.6', '53.7', '0.23', '0.21', '28.0', '22.5', '4844', '4596', '852', '763', '3996', '3259', '3020', '3175', '3160', '2020', '2590', '2858', '', '', '1039', '1029', '131.2', '110.8', '153.1', '144.0', '1.17', '1.30', '648.2', '609.1', '279.0', '253.6', '', '', '1106', '1093', '67.9', '36.0', '21327', '17384', '1685', '1304']
['Athlete 5', 'Squat Jump', '12/12/2019 16:43', '83.1', 'Trial 1', '', '', '', '', '-0.2', '-6.9', '-6.8', '-5.1', '5.3', '-0.2', '-9.8', '3.6', '-38.2', '2.9', '', '2.3', '-4.8', '3.6', '8.2', '-3.3', '-0.8', '', '0.8', '-4.2', '11.2', '9.2', '', '', '235.3', '234.9', '54.7', '50.9', '0.23', '0.22', '22.9', '21.7', '4434', '4684', '725', '723', '3202', '2887', '2781', '2884', '2006', '1240', '2613', '2690', '', '', '969', '992', '106.4', '101.2', '128.9', '133.7', '1.21', '1.32', '459.2', '444.0', '232.2', '230.4', '', '', '1034', '1042', '37.9', '36.3', '110418', '124395', '4858', '5349']
