['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 13', 'Squat Jump', '12/12/2019 10:32', '96.8', 'Trial 1', '', '', '', '', '-3.6', '-2.0', '1.6', '-0.9', '11.8', '-3.6', '-2.6', '-1.1', '-33.3', '-12.5', '', '-6.1', '-0.4', '-6.3', '-5.9', '-11.0', '-2.5', '', '-5.2', '-25.4', '-13.9', '-13.9', '', '', '352.7', '340.2', '55.6', '54.5', '0.16', '0.16', '25.4', '25.2', '2218', '2516', '717', '692', '1691', '1647', '1366', '1351', '1374', '916', '1252', '1096', '', '', '915', '859', '161.7', '161.1', '191.0', '179.1', '1.18', '1.11', '674.1', '599.8', '344.5', '335.8', '', '', '956', '906', '59.3', '44.2', '94194', '81100', '4804', '4136']
['Athlete 13', 'Squat Jump', '12/12/2019 10:32', '96.8', 'Trial 2', '', '', '', '', '-5.8', '-14.1', '-8.8', '-16.5', '-4.4', '-5.9', '24.4', '25.8', '11.6', '10.9', '', '-3.4', '-6.8', '-5.1', '1.8', '-13.0', '-5.1', '', '-3.4', '-19.7', '5.9', '4.5', '', '', '363.5', '342.3', '58.0', '49.8', '0.16', '0.15', '27.5', '22.9', '2800', '2676', '733', '690', '1171', '1548', '1217', '1641', '930', '1052', '1220', '1369', '', '', '963', '930', '165.6', '154.5', '197.8', '187.8', '1.19', '1.22', '724.3', '629.8', '356.1', '337.9', '', '', '1006', '972', '66.9', '53.8', '44175', '46936', '2960', '3098']
['Athlete 13', 'Squat Jump', '12/12/2019 10:32', '96.8', 'Trial 3', '', '', '', '', '-3.7', '0.8', '4.5', '-0.5', '7.1', '-3.7', '100.0', '37.4', '54.4', '-4.1', '', '-3.6', '0.6', '-6.6', '-7.1', '-8.2', '-2.9', '', '-2.9', '-10.3', '-8.8', '-4.1', '', '', '409.8', '394.7', '48.7', '49.1', '0.12', '0.12', '24.5', '24.4', '2888', '3110', '676', '651', '-19', '285', '270', '431', '62', '136', '1058', '1015', '', '', '961', '926', '166.3', '167.3', '243.5', '227.4', '1.46', '1.36', '764.6', '702.2', '402.0', '390.4', '', '', '1016', '987', '58.9', '52.9', '68624', '62603', '4049', '3881']
['Athlete 14', 'Squat Jump', '12/12/2019 10:30', '76.8', 'Trial 1', '', '', '', '', '4.9', '7.6', '2.8', '8.6', '13.5', '4.9', '16.2', '-79.6', '58.7', '11.5', '', '-0.7', '7.2', '3.7', '-3.6', '13.6', '4.9', '', '5.3', '19.9', '-19.9', '-1.0', '', '', '327.2', '344.2', '31.6', '34.2', '0.10', '0.10', '16.9', '18.4', '6096', '7050', '562', '591', '-917', '-1066', '105', '21', '-484', '-768', '1538', '1738', '', '', '832', '826', '113.6', '122.3', '213.6', '221.9', '1.88', '1.81', '496.6', '574.4', '268.0', '281.6', '', '', '855', '904', '25.7', '32.1', '239147', '191671', '4066', '4025']
['Athlete 14', 'Squat Jump', '12/12/2019 10:30', '76.8', 'Trial 2', '', '', '', '', '0.3', '-0.8', '-1.2', '1.4', '14.6', '0.3', '40.8', '2.8', '5.4', '5.7', '', '0.3', '-0.1', '0.6', '0.7', '-1.0', '1.5', '', '3.7', '1.5', '4.0', '1.3', '', '', '301.5', '302.5', '33.0', '32.8', '0.11', '0.11', '17.1', '17.4', '4040', '4732', '601', '603', '-304', '-428', '1515', '1558', '-930', '-980', '1146', '1215', '', '', '814', '816', '116.6', '116.5', '184.9', '186.0', '1.59', '1.60', '512.9', '507.6', '255.3', '259.2', '', '', '839', '871', '34.3', '34.9', '108219', '112722', '4004', '4058']
['Athlete 14', 'Squat Jump', '12/12/2019 10:30', '76.8', 'Trial 3', '', '', '', '', '0.7', '-0.6', '-1.3', '-0.1', '28.2', '0.7', '36.6', '19.7', '-21.3', '-0.8', '', '-3.0', '3.1', '-0.7', '-3.8', '8.0', '1.3', '', '-1.1', '13.4', '17.9', '14.0', '', '', '295.1', '297.2', '34.3', '34.1', '0.12', '0.11', '17.6', '17.6', '2900', '4038', '603', '607', '-186', '-254', '1109', '1382', '-706', '-582', '1346', '1335', '', '', '879', '853', '108.0', '111.4', '187.1', '185.8', '1.73', '1.67', '494.4', '537.6', '249.0', '252.2', '', '', '918', '908', '36.2', '41.8', '71068', '86529', '3127', '3634']
['Athlete 15', 'Squat Jump', '12/11/2019 11:55', '71.9', 'Trial 1', '', '', '', '', '12.0', '16.1', '4.6', '14.6', '-20.1', '12.0', '44.5', '15.1', '50.0', '-1.8', '', '7.1', '17.0', '8.5', '-9.3', '18.6', '11.8', '', '4.2', '21.5', '15.6', '7.7', '', '', '213.2', '242.3', '37.4', '44.5', '0.18', '0.18', '17.8', '20.8', '3210', '2566', '526', '597', '595', '1072', '926', '1091', '620', '1240', '1547', '1519', '', '', '805', '866', '83.1', '100.2', '130.1', '142.2', '1.57', '1.42', '485.6', '596.4', '210.7', '238.9', '', '', '855', '892', '26.0', '33.2', '32069', '38017', '2245', '2433']
['Athlete 15', 'Squat Jump', '12/11/2019 11:55', '71.9', 'Trial 2', '', '', '', '', '11.4', '5.2', '-6.5', '7.4', '-9.7', '11.4', '77.0', '-29.4', '80.6', '-5.5', '', '-2.4', '11.3', '11.4', '0.2', '10.6', '12.2', '', '0.0', '-8.2', '38.5', '35.0', '', '', '373.0', '420.9', '32.2', '34.0', '0.09', '0.08', '16.1', '17.4', '2800', '2528', '432', '488', '-161', '-285', '-137', '-106', '-186', '-336', '544', '514', '', '', '738', '721', '130.7', '147.3', '242.3', '273.6', '1.85', '1.86', '557.9', '623.8', '247.3', '281.6', '', '', '761', '761', '41.1', '37.8', '15807', '25717', '1154', '1774']
['Athlete 16', 'Squat Jump', '12/11/2019 11:54', '84.2', 'Trial 1', '', '', '', '', '1.3', '3.4', '2.1', '3.0', '5.2', '1.3', '5.9', '-12.5', '8.0', '-1.8', '', '2.7', '1.2', '1.4', '0.1', '9.4', '0.6', '', '-0.2', '-25.4', '23.8', '-15.8', '', '', '272.8', '276.5', '48.2', '49.9', '0.18', '0.18', '22.0', '22.7', '3382', '3568', '669', '678', '1667', '1771', '1663', '1455', '1128', '1226', '1873', '1839', '', '', '928', '953', '117.4', '118.9', '155.5', '157.6', '1.32', '1.33', '621.4', '685.9', '269.7', '271.4', '', '', '1002', '1000', '62.3', '46.5', '15654', '20530', '1487', '1252']
['Athlete 16', 'Squat Jump', '12/11/2019 11:54', '84.2', 'Trial 2', '', '', '', '', '4.8', '4.5', '-0.3', '4.6', '-2.3', '4.8', '-11.8', '10.7', '36.9', '-0.5', '', '2.9', '6.6', '3.8', '-2.9', '-0.2', '4.3', '', '1.4', '27.3', '-25.8', '-14.9', '', '', '302.4', '317.5', '37.9', '39.7', '0.13', '0.12', '19.3', '20.3', '5488', '5364', '633', '665', '-304', '-272', '802', '899', '-298', '-408', '1710', '1702', '', '', '942', '970', '104.2', '111.6', '198.1', '205.9', '1.90', '1.85', '618.1', '617.1', '243.7', '254.6', '', '', '1037', '1051', '51.8', '71.3', '26097', '19366', '1957', '1666']
['Athlete 17', 'Squat Jump', '12/11/2019 11:38', '82.7', 'Trial 1', '', '', '', '', '1.6', '20.0', '18.7', '20.0', '-30.0', '1.6', '14.9', '-23.7', '73.0', '-16.9', '', '-3.8', '10.2', '-5.0', '-14.7', '-1.5', '2.0', '', '-4.7', '9.8', '-26.3', '-10.3', '', '', '269.1', '273.4', '43.4', '54.2', '0.16', '0.20', '19.5', '24.4', '3718', '2602', '694', '705', '1834', '2156', '2233', '1704', '496', '1834', '2237', '1859', '', '', '978', '940', '108.6', '120.9', '160.5', '152.5', '1.48', '1.26', '348.5', '343.3', '264.7', '270.2', '', '', '1040', '991', '34.5', '38.2', '276943', '204036', '6370', '5713']
['Athlete 17', 'Squat Jump', '12/11/2019 11:38', '82.7', 'Trial 2', '', '', '', '', '-0.7', '-7.8', '-7.2', '-4.2', '-26.1', '-0.7', '-25.5', '3.6', '-34.7', '-3.8', '', '3.3', '-5.7', '3.4', '8.9', '9.3', '-1.1', '', '-1.3', '-4.3', '9.3', '10.7', '', '', '262.3', '260.6', '58.2', '53.7', '0.22', '0.21', '24.3', '23.3', '4176', '3086', '737', '733', '3408', '2540', '2206', '2289', '3508', '2292', '2300', '2214', '', '', '912', '942', '119.4', '112.6', '142.9', '148.0', '1.20', '1.31', '521.8', '575.5', '259.8', '256.9', '', '', '1004', '991', '53.0', '50.7', '41369', '45589', '2565', '2872']
['Athlete 18', 'Squat Jump', '12/11/2019 09:52', '80.3', 'Trial 1', '', '', '', '', '6.3', '5.4', '-1.0', '4.3', '-7.2', '6.3', '43.6', '10.3', '30.3', '3.3', '', '5.4', '7.7', '5.2', '-2.6', '15.4', '5.8', '', '3.3', '29.0', '-20.4', '-0.1', '', '', '276.7', '295.4', '40.5', '42.8', '0.15', '0.14', '19.9', '20.8', '4138', '3840', '588', '628', '360', '638', '1834', '2044', '138', '198', '1864', '1927', '', '', '698', '738', '125.8', '136.2', '151.0', '159.2', '1.20', '1.17', '570.8', '674.7', '271.9', '288.6', '', '', '820', '848', '32.8', '46.2', '28747', '22878', '1466', '1464']
['Athlete 18', 'Squat Jump', '12/11/2019 09:52', '80.3', 'Trial 2', '', '', '', '', '7.8', '12.4', '5.0', '11.2', '-47.2', '7.8', '31.1', '39.0', '-27.2', '-14.0', '', '-3.9', '17.2', '0.7', '-16.6', '2.5', '8.2', '', '-3.0', '1.8', '-23.0', '-4.2', '', '', '268.7', '291.3', '40.6', '46.4', '0.15', '0.16', '19.5', '21.9', '3828', '2020', '606', '657', '768', '1115', '843', '1381', '508', '370', '1651', '1420', '', '', '929', '893', '103.0', '124.4', '165.7', '166.9', '1.61', '1.34', '628.1', '644.5', '264.5', '288.2', '', '', '974', '944', '33.8', '34.4', '39164', '30144', '2076', '1990']
['Athlete 19', 'Squat Jump', '12/11/2019 09:07', '85.1', 'Trial 1', '', '', '', '', '-6.4', '-6.1', '0.3', '-4.5', '11.1', '-6.4', '-83.8', '-32.0', '-41.0', '3.7', '', '-1.3', '-8.7', '-4.7', '4.2', '-2.5', '-5.2', '', '0.2', '-39.0', '-30.5', '-28.3', '', '', '351.4', '329.0', '45.0', '42.3', '0.13', '0.13', '22.2', '21.2', '2292', '2578', '630', '590', '266', '43', '697', '474', '210', '124', '1145', '1189', '', '', '943', '930', '144.9', '132.3', '206.4', '196.7', '1.42', '1.49', '673.8', '656.7', '345.0', '327.0', '', '', '966', '968', '61.3', '37.4', '44918', '31220', '2785', '1998']
['Athlete 19', 'Squat Jump', '12/11/2019 09:07', '85.1', 'Trial 2', '', '', '', '', '-4.1', '-6.0', '-1.9', '-8.4', '8.9', '-4.1', '13.6', '6.7', '30.1', '7.7', '', '-1.4', '-1.7', '-6.0', '-4.3', '-24.1', '-2.4', '', '0.5', '-46.5', '-62.1', '-53.5', '', '', '302.3', '289.9', '49.4', '46.4', '0.16', '0.16', '23.1', '21.1', '2504', '2750', '683', '655', '1332', '1542', '1376', '1474', '658', '942', '1521', '1648', '', '', '938', '924', '130.1', '127.9', '172.2', '162.0', '1.32', '1.27', '686.0', '520.8', '296.1', '289.0', '', '', '979', '984', '65.3', '35.0', '61194', '23169', '4039', '1877']
['Athlete 20', 'Squat Jump', '12/11/2019 08:48', '95', 'Trial 1', '', '', '', '', '5.6', '6.6', '1.0', '5.9', '26.4', '5.6', '19.2', '19.6', '28.9', '-0.4', '', '0.0', '9.0', '2.9', '-6.3', '6.3', '6.2', '', '2.0', '-4.0', '7.9', '6.9', '', '', '304.8', '322.8', '51.2', '54.8', '0.17', '0.17', '24.1', '25.7', '2652', '3604', '726', '769', '1201', '1486', '1753', '2181', '792', '1114', '1723', '1716', '', '', '998', '997', '129.3', '142.1', '175.5', '180.7', '1.36', '1.27', '632.2', '674.6', '298.8', '318.6', '', '', '1034', '1054', '82.7', '79.4', '17901', '19441', '1701', '1828']
['Athlete 20', 'Squat Jump', '12/11/2019 08:48', '95', 'Trial 2', '', '', '', '', '4.0', '4.0', '0.0', '-2.0', '25.1', '4.0', '36.8', '21.5', '20.5', '7.8', '', '-3.6', '10.0', '-1.0', '-10.9', '-0.4', '5.7', '', '3.4', '-24.2', '4.3', '-4.9', '', '', '279.0', '290.7', '57.3', '59.7', '0.21', '0.21', '26.0', '25.5', '3296', '4398', '776', '808', '2063', '3265', '2515', '3203', '1696', '2132', '2426', '2632', '', '', '1024', '987', '120.2', '133.6', '158.8', '157.1', '1.32', '1.18', '624.1', '621.5', '271.4', '287.7', '', '', '1099', '1138', '100.3', '76.0', '12023', '12562', '1334', '1269']
['Athlete 21', 'Squat Jump', '12/10/2019 16:56', '87.2', 'Trial 1', '', '', '', '', '5.9', '11.0', '5.5', '15.5', '-5.8', '5.9', '-8.1', '-14.6', '-3.8', '-9.0', '', '5.3', '7.3', '4.4', '-3.1', '20.9', '5.6', '', '4.6', '56.6', '-5.9', '24.5', '', '', '272.4', '289.3', '70.9', '79.6', '0.26', '0.28', '27.8', '32.9', '7694', '7248', '802', '852', '5272', '4845', '2636', '2252', '7470', '7186', '2277', '2072', '', '', '875', '924', '134.1', '144.7', '138.3', '144.6', '1.03', '1.00', '604.8', '764.9', '270.2', '286.3', '', '', '928', '973', '19.9', '45.9', '56081', '52768', '1514', '2005']
['Athlete 21', 'Squat Jump', '12/10/2019 16:56', '87.2', 'Trial 2', '', '', '', '', '9.4', '10.1', '0.8', '10.8', '1.5', '9.4', '100.0', '37.2', '-100.0', '-1.2', '', '8.5', '11.9', '8.0', '-4.3', '27.1', '7.3', '', '4.5', '35.1', '-28.2', '-25.2', '', '', '373.9', '412.7', '39.2', '43.7', '0.10', '0.11', '19.6', '21.9', '4770', '4844', '576', '636', '-43', '-130', '-43', '-59', '76', '-74', '901', '890', '', '', '837', '915', '131.3', '149.0', '242.7', '263.7', '1.85', '1.77', '640.7', '878.4', '271.8', '293.3', '', '', '902', '944', '38.6', '59.4', '30189', '21664', '2113', '1582']
['Athlete 22', 'Squat Jump', '12/10/2019 16:54', '81.8', 'Trial 1', '', '', '', '', '-8.9', '-9.2', '-0.3', '-6.2', '-17.5', '-8.9', '-26.1', '-12.3', '-26.8', '-6.8', '', '-3.4', '-11.2', '-7.0', '4.6', '20.9', '-8.3', '', '-5.5', '45.0', '27.8', '17.1', '', '', '265.5', '241.9', '56.0', '50.9', '0.21', '0.21', '23.7', '22.2', '3828', '3160', '755', '688', '3017', '2230', '2880', '2527', '2638', '1932', '2558', '2385', '', '', '947', '915', '118.5', '105.2', '146.9', '136.7', '1.24', '1.30', '513.1', '648.4', '260.7', '239.1', '', '', '1032', '975', '35.5', '64.7', '32861', '45487', '2300', '2775']
['Athlete 22', 'Squat Jump', '12/10/2019 16:54', '81.8', 'Trial 2', '', '', '', '', '-6.5', '-4.9', '1.7', '-5.8', '-30.0', '-6.5', '-8.2', '-21.9', '-18.2', '-5.2', '', '-2.1', '-6.4', '-6.6', '-0.2', '-2.0', '-6.3', '', '-4.1', '7.6', '9.5', '1.4', '', '', '299.9', '280.3', '47.3', '45.0', '0.16', '0.16', '22.2', '20.9', '4968', '3480', '696', '651', '911', '836', '1772', '1385', '1166', '954', '1819', '1725', '', '', '947', '927', '117.4', '109.9', '182.4', '170.4', '1.55', '1.55', '677.6', '663.9', '296.2', '277.7', '', '', '1018', '976', '50.5', '54.7', '46403', '51284', '2831', '2872']
['Athlete 23', 'Squat Jump', '12/10/2019 16:28', '91.7', 'Trial 1', '', '', '', '', '17.9', '26.8', '10.8', '24.3', '-45.7', '17.9', '67.7', '55.7', '70.0', '-14.9', '', '-3.8', '31.4', '7.8', '-25.6', '24.7', '18.4', '', '1.0', '13.1', '0.6', '0.6', '', '', '285.5', '347.8', '41.6', '56.7', '0.15', '0.16', '20.4', '26.9', '6506', '3530', '648', '789', '396', '1227', '684', '1545', '260', '868', '2231', '1899', '', '', '1099', '1056', '102.4', '149.3', '183.1', '198.5', '1.79', '1.33', '510.8', '678.6', '280.0', '343.2', '', '', '1160', '1172', '29.5', '34.0', '96766', '97371', '3967', '3992']
['Athlete 23', 'Squat Jump', '12/10/2019 16:28', '91.7', 'Trial 2', '', '', '', '', '14.7', '24.3', '11.3', '20.1', '-8.1', '14.7', '47.9', '19.5', '57.3', '-7.2', '', '-0.4', '24.9', '6.0', '-20.1', '33.7', '15.1', '', '3.4', '35.6', '-13.2', '-10.1', '', '', '269.3', '315.6', '47.5', '62.7', '0.18', '0.20', '21.8', '27.3', '4138', '3804', '698', '818', '1543', '2961', '1921', '2385', '930', '2180', '2317', '2149', '', '', '1030', '1026', '108.5', '144.5', '160.8', '171.1', '1.48', '1.18', '566.7', '854.9', '264.2', '311.0', '', '', '1078', '1116', '32.4', '50.4', '58105', '50444', '3312', '2976']
['Athlete 24', 'Squat Jump', '12/10/2019 11:58', '89.7', 'Trial 1', '', '', '', '', '-17.5', '-15.5', '2.4', '-15.1', '34.9', '-17.5', '-100.0', '-94.3', '-100.0', '11.0', '', '8.8', '-29.3', '-8.9', '22.4', '-1.4', '-18.9', '', '-0.4', '21.6', '37.4', '26.6', '', '', '370.9', '305.9', '49.1', '41.5', '0.13', '0.14', '24.6', '20.8', '3692', '5674', '692', '571', '161', '-43', '1143', '66', '124', '-36', '1301', '1462', '', '', '864', '947', '157.4', '111.3', '213.5', '194.6', '1.36', '1.75', '573.3', '565.0', '366.9', '297.7', '', '', '1022', '1018', '52.7', '67.3', '29393', '46924', '2410', '3285']
['Athlete 24', 'Squat Jump', '12/10/2019 11:58', '89.7', 'Trial 2', '', '', '', '', '-6.2', '-28.5', '-23.8', '-37.4', '31.4', '-6.2', '40.0', '32.1', '26.8', '32.2', '', '6.2', '-17.5', '4.1', '20.9', '-3.2', '-7.0', '', '1.3', '1.7', '-5.2', '-15.5', '', '', '265.8', '249.4', '66.9', '47.8', '0.25', '0.19', '31.0', '19.4', '3606', '5254', '792', '743', '2113', '3524', '2562', '3772', '1922', '2626', '2455', '3620', '', '', '923', '983', '127.0', '104.8', '138.7', '144.7', '1.09', '1.38', '525.6', '508.9', '261.8', '243.4', '', '', '1081', '1095', '70.4', '71.6', '27583', '26155', '2289', '1936']
['Athlete 24', 'Squat Jump', '12/10/2019 11:58', '89.7', 'Trial 3', '', '', '', '', '-15.5', '-22.5', '-8.3', '-19.8', '17.0', '-15.5', '-100.0', '100.0', '-79.7', '9.2', '', '0.9', '-28.1', '-7.7', '22.1', '-0.6', '-9.7', '', '-2.5', '16.0', '-1.4', '-1.4', '', '', '379.3', '320.5', '52.9', '41.0', '0.14', '0.13', '25.7', '20.6', '5574', '6716', '688', '581', '682', '-38', '-170', '-347', '670', '136', '1530', '1685', '', '', '971', '980', '145.4', '104.6', '233.9', '215.9', '1.61', '2.06', '489.3', '486.3', '255.7', '231.0', '', '', '1132', '1104', '55.0', '65.5', '53949', '53221', '3399', '3353']
['Athlete 25', 'Squat Jump', '12/10/2019 11:11', '86.2', 'Trial 1', '', '', '', '', '-2.2', '-9.7', '-7.6', '-7.3', '-18.5', '-2.2', '-55.5', '-10.9', '-66.6', '-2.0', '', '-4.1', '-8.9', '2.7', '11.3', '8.6', '-2.7', '', '-2.3', '30.4', '-5.3', '5.9', '', '', '327.4', '320.3', '49.4', '44.7', '0.15', '0.14', '23.4', '21.7', '4348', '3544', '650', '636', '1016', '452', '908', '809', '1264', '422', '1308', '1282', '', '', '906', '869', '140.2', '127.8', '187.3', '192.5', '1.34', '1.51', '593.2', '648.8', '324.3', '315.6', '', '', '964', '941', '34.5', '49.6', '55920', '52935', '2740', '2911']
['Athlete 25', 'Squat Jump', '12/10/2019 11:11', '86.2', 'Trial 2', '', '', '', '', '-1.2', '-2.0', '-0.8', '-0.5', '-38.4', '-1.2', '-91.7', '-63.3', '52.6', '-6.7', '', '-5.2', '-6.7', '2.4', '9.0', '8.6', '-1.5', '', '-4.3', '13.7', '26.3', '26.3', '', '', '378.6', '374.0', '44.2', '43.3', '0.12', '0.12', '21.8', '21.7', '4040', '2490', '608', '601', '229', '19', '304', '112', '36', '76', '1032', '963', '', '', '918', '870', '151.1', '140.9', '227.5', '233.1', '1.51', '1.65', '616.5', '674.3', '375.3', '369.8', '', '', '981', '939', '47.2', '54.7', '41812', '56715', '2467', '3346']
['Athlete 25', 'Squat Jump', '12/10/2019 11:11', '86.2', 'Trial 3', '', '', '', '', '-2.1', '-11.2', '-9.3', '-10.8', '3.4', '-2.1', '-17.4', '-11.9', '-4.5', '7.8', '', '-3.1', '-5.9', '0.1', '5.9', '-3.8', '0.4', '', '-1.3', '23.1', '-39.8', '-26.3', '', '', '428.5', '419.7', '49.9', '44.3', '0.12', '0.11', '24.0', '21.4', '5550', '5748', '580', '568', '644', '532', '-812', '-725', '842', '804', '692', '751', '', '', '879', '852', '152.8', '143.9', '275.7', '275.8', '1.80', '1.92', '635.6', '611.2', '299.1', '300.3', '', '', '911', '899', '37.6', '48.9', '54465', '32778', '2669', '1967']
['Athlete 26', 'Squat Jump', '12/10/2019 09:41', '90.2', 'Trial 1', '', '', '', '', '4.1', '10.3', '6.5', '12.0', '-8.2', '4.1', '-2.1', '7.8', '-0.7', '-12.3', '', '-1.1', '9.1', '-0.7', '-9.8', '-0.8', '4.5', '', '-0.2', '-0.3', '9.8', '13.2', '', '', '323.2', '336.9', '50.6', '56.4', '0.16', '0.17', '22.9', '26.0', '2442', '2242', '651', '678', '1785', '1747', '1233', '1338', '1648', '1636', '1163', '1020', '', '', '855', '845', '148.7', '163.6', '174.5', '173.3', '1.17', '1.06', '586.8', '582.1', '317.8', '332.7', '', '', '889', '887', '41.9', '41.8', '98431', '109136', '5020', '5784']
['Athlete 26', 'Squat Jump', '12/10/2019 09:41', '90.2', 'Trial 2', '', '', '', '', '3.8', '4.1', '0.4', '4.1', '20.1', '3.8', '0.6', '-3.5', '-26.5', '-4.5', '', '-3.2', '3.9', '3.6', '-0.3', '10.5', '3.4', '', '1.7', '-15.4', '42.6', '25.7', '', '', '331.5', '344.5', '48.9', '51.0', '0.15', '0.15', '23.0', '24.0', '2256', '2824', '639', '664', '1263', '1270', '1242', '1199', '892', '656', '1050', '1003', '', '', '872', '844', '153.0', '159.3', '178.5', '185.2', '1.17', '1.16', '544.9', '608.7', '327.7', '339.2', '', '', '894', '910', '41.2', '34.9', '54988', '95868', '3134', '4218']
['Athlete 26', 'Squat Jump', '12/10/2019 09:41', '90.2', 'Trial 3', '', '', '', '', '6.5', '8.2', '1.8', '7.2', '21.9', '6.5', '14.6', '20.2', '9.9', '-4.7', '', '4.2', '8.6', '4.6', '-4.2', '11.8', '5.4', '', '1.3', '-30.7', '71.5', '58.5', '', '', '336.7', '360.1', '48.3', '52.6', '0.14', '0.15', '22.8', '24.6', '2206', '2826', '626', '670', '1084', '1270', '1050', '1317', '1004', '1114', '1022', '974', '', '', '851', '888', '153.3', '167.9', '183.4', '192.3', '1.20', '1.15', '560.5', '635.7', '334.2', '353.4', '', '', '897', '910', '54.8', '38.0', '33827', '118687', '2266', '5460']
['Athlete 27', 'Squat Jump', '12/9/2019 12:04', '94.3', 'Trial 1', '', '', '', '', '10.2', '3.8', '-6.6', '5.2', '-17.2', '10.2', '-36.8', '22.2', '-35.2', '6.9', '', '4.1', '7.2', '12.1', '5.3', '19.4', '10.2', '', '6.2', '-88.2', '86.7', '12.3', '', '', '348.2', '387.6', '48.9', '50.8', '0.14', '0.13', '23.6', '24.9', '4460', '3692', '660', '735', '706', '446', '650', '836', '630', '408', '1449', '1555', '', '', '1012', '1055', '142.3', '153.3', '205.9', '234.3', '1.45', '1.53', '725.5', '900.0', '344.0', '383.0', '', '', '1078', '1149', '52.8', '6.2', '23055', '173540', '1522', '1735']
['Athlete 27', 'Squat Jump', '12/9/2019 12:04', '94.3', 'Trial 2', '', '', '', '', '8.9', '6.3', '-2.8', '6.2', '6.3', '8.9', '-8.7', '9.1', '-35.7', '9.4', '', '4.9', '7.9', '9.6', '1.9', '8.9', '9.2', '', '8.8', '87.0', '-75.2', '24.3', '', '', '341.7', '375.1', '49.4', '52.7', '0.14', '0.14', '23.3', '24.9', '3320', '3544', '672', '737', '1140', '1041', '777', '855', '656', '422', '1321', '1457', '', '', '973', '1024', '142.3', '154.4', '199.4', '220.6', '1.40', '1.43', '744.5', '817.0', '336.8', '371.1', '', '', '1008', '1105', '6.8', '52.4', '124683', '30900', '1496', '1978']
['Athlete 27', 'Squat Jump', '12/9/2019 12:04', '94.3', 'Trial 3', '', '', '', '', '11.1', '11.1', '0.0', '10.4', '-17.8', '11.1', '30.2', '49.8', '11.4', '-9.4', '', '-5.1', '17.3', '6.5', '-11.6', '-1.9', '11.4', '', '0.8', '-10.0', '-33.8', '-16.2', '', '', '320.7', '360.9', '48.5', '54.6', '0.15', '0.15', '23.3', '26.0', '3134', '2576', '674', '759', '731', '1047', '809', '1611', '868', '980', '1498', '1357', '', '', '1001', '950', '129.7', '156.7', '191.0', '204.2', '1.47', '1.30', '785.7', '771.1', '315.9', '356.6', '', '', '1030', '1038', '63.5', '57.2', '34735', '22982', '2084', '1747']
['Athlete 28', 'Squat Jump', '12/9/2019 10:58', '85.8', 'Trial 1', '', '', '', '', '0.2', '7.5', '7.3', '5.5', '3.7', '0.2', '29.0', '7.8', '22.0', '-10.4', '', '-7.2', '7.6', '-5.1', '-12.3', '13.4', '0.7', '', '-4.9', '-21.5', '19.9', '6.0', '', '', '292.3', '292.9', '48.0', '51.9', '0.16', '0.18', '22.2', '23.5', '5822', '6046', '682', '683', '1332', '1877', '842', '913', '1140', '1462', '2016', '1806', '', '', '1021', '948', '116.9', '126.6', '175.3', '166.3', '1.50', '1.31', '583.0', '672.8', '288.4', '290.4', '', '', '1090', '1037', '33.4', '26.2', '85365', '106517', '2902', '3089']
['Athlete 28', 'Squat Jump', '12/9/2019 10:58', '85.8', 'Trial 2', '', '', '', '', '-0.6', '9.8', '10.3', '6.7', '15.9', '-0.6', '43.4', '1.7', '69.9', '-7.6', '', '-6.5', '9.1', '-7.6', '-16.0', '-7.7', '0.6', '', '-3.1', '-16.0', '20.0', '15.6', '', '', '300.3', '298.6', '44.6', '49.5', '0.15', '0.17', '21.3', '22.8', '4064', '4832', '674', '670', '824', '1456', '1264', '1286', '298', '990', '1710', '1579', '', '', '961', '899', '120.8', '132.8', '179.5', '165.8', '1.49', '1.25', '646.7', '596.5', '295.2', '296.8', '', '', '1024', '993', '36.0', '30.3', '93250', '116608', '3544', '4198']
['Athlete 28', 'Squat Jump', '12/9/2019 10:58', '85.8', 'Trial 3', '', '', '', '', '-3.9', '0.8', '4.7', '-1.2', '7.5', '-3.9', '14.6', '-3.1', '16.3', '-4.5', '', '-5.9', '0.7', '-7.3', '-7.9', '-3.9', '-2.9', '', '-3.4', '6.5', '-18.0', '-9.3', '', '', '294.7', '283.3', '51.0', '51.5', '0.17', '0.18', '23.3', '23.0', '4894', '5292', '694', '667', '1815', '2125', '985', '954', '1400', '1672', '1823', '1740', '', '', '971', '914', '124.4', '125.3', '170.3', '157.9', '1.37', '1.26', '358.7', '344.6', '289.4', '281.1', '', '', '1036', '1000', '27.7', '29.6', '153346', '125684', '4294', '3896']
