['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 6', 'Squat Jump', '12/12/2019 08:54', '73.6', 'Trial 1', '', '', '', '', '-4.7', '0.4', '5.0', '3.4', '-1.0', '-4.7', '-30.1', '-25.9', '-1.3', '-6.4', '', '-1.8', '-5.6', '-3.9', '1.7', '14.4', '-4.7', '', '-2.7', '32.5', '44.2', '35.7', '', '', '221.5', '211.2', '42.0', '42.1', '0.19', '0.20', '19.3', '20.0', '2354', '2330', '566', '539', '1301', '910', '1617', '1199', '1042', '1028', '1452', '1359', '', '', '731', '718', '97.0', '91.6', '124.5', '119.6', '1.28', '1.31', '448.3', '523.9', '217.3', '207.0', '', '', '786', '765', '36.6', '54.2', '7261', '13014', '712', '1106']
['Athlete 6', 'Squat Jump', '12/12/2019 08:54', '73.6', 'Trial 2', '', '', '', '', '-2.7', '-5.5', '-2.9', '-5.9', '15.5', '-2.7', '-6.1', '3.4', '15.1', '7.6', '', '0.2', '-5.0', '-0.9', '4.1', '-3.3', '-2.5', '', '0.9', '35.8', '25.9', '23.2', '', '', '213.6', '207.8', '43.2', '40.9', '0.20', '0.20', '20.2', '19.0', '1958', '2316', '557', '542', '1208', '1134', '1267', '1311', '842', '992', '1395', '1509', '', '', '731', '733', '94.1', '89.4', '119.5', '118.4', '1.27', '1.32', '511.3', '494.3', '209.4', '204.1', '', '', '777', '784', '31.5', '49.0', '14932', '20164', '1254', '1633']
['Athlete 6', 'Squat Jump', '12/12/2019 08:54', '73.6', 'Trial 1', '', '', '', '', '-4.7', '0.4', '5.0', '3.4', '-1.0', '-4.7', '-30.1', '-25.9', '-1.3', '-6.4', '', '-1.8', '-5.6', '-3.9', '1.7', '14.4', '-4.7', '', '-2.7', '32.5', '44.2', '35.7', '', '', '221.5', '211.2', '42.0', '42.1', '0.19', '0.20', '19.3', '20.0', '2354', '2330', '566', '539', '1301', '910', '1617', '1199', '1042', '1028', '1452', '1359', '', '', '731', '718', '97.0', '91.6', '124.5', '119.6', '1.28', '1.31', '448.3', '523.9', '217.3', '207.0', '', '', '786', '765', '36.6', '54.2', '7261', '13014', '712', '1106']
['Athlete 6', 'Squat Jump', '12/12/2019 08:54', '73.6', 'Trial 2', '', '', '', '', '-2.7', '-5.5', '-2.9', '-5.9', '15.5', '-2.7', '-6.1', '3.4', '15.1', '7.6', '', '0.2', '-5.0', '-0.9', '4.1', '-3.3', '-2.5', '', '0.9', '35.8', '25.9', '23.2', '', '', '213.6', '207.8', '43.2', '40.9', '0.20', '0.20', '20.2', '19.0', '1958', '2316', '557', '542', '1208', '1134', '1267', '1311', '842', '992', '1395', '1509', '', '', '731', '733', '94.1', '89.4', '119.5', '118.4', '1.27', '1.32', '511.3', '494.3', '209.4', '204.1', '', '', '777', '784', '31.5', '49.0', '14932', '20164', '1254', '1633']
['Athlete 7', 'Squat Jump', '12/12/2019 08:48', '66.7', 'Trial 1', '', '', '', '', '4.6', '7.4', '2.9', '6.2', '13.8', '4.6', '8.1', '-2.3', '23.6', '-4.4', '', '-2.1', '4.8', '4.5', '-0.3', '15.1', '3.8', '', '-0.5', '29.6', '21.7', '20.5', '', '', '208.4', '218.5', '41.9', '45.3', '0.20', '0.21', '18.4', '19.6', '2254', '2614', '493', '517', '1970', '2143', '1106', '1081', '1722', '2254', '925', '884', '', '', '631', '618', '103.2', '108.4', '105.2', '110.2', '1.02', '1.02', '326.7', '384.6', '205.4', '213.4', '', '', '646', '643', '37.5', '53.2', '32948', '42080', '2208', '2777']
['Athlete 7', 'Squat Jump', '12/12/2019 08:48', '66.7', 'Trial 2', '', '', '', '', '-0.6', '-2.8', '-2.2', '0.7', '7.0', '-0.6', '-38.8', '-9.4', '-63.8', '-2.0', '', '-1.2', '-3.0', '1.5', '4.5', '10.4', '-1.0', '', '0.4', '7.9', '27.0', '16.6', '', '', '223.9', '222.6', '37.5', '36.5', '0.17', '0.16', '17.3', '17.5', '1648', '1772', '484', '481', '1103', '675', '1029', '932', '818', '296', '838', '821', '', '', '617', '610', '104.6', '101.4', '119.3', '121.1', '1.14', '1.19', '350.7', '391.4', '220.4', '218.2', '', '', '644', '647', '34.3', '37.2', '47396', '64949', '2654', '3182']
['Athlete 7', 'Squat Jump', '12/12/2019 08:48', '66.7', 'Trial 3', '', '', '', '', '5.6', '9.1', '3.7', '8.6', '2.5', '5.6', '13.5', '-1.8', '41.1', '-3.9', '', '-0.3', '6.2', '5.0', '-1.2', '3.7', '4.9', '', '0.8', '-2.0', '10.5', '7.6', '', '', '202.5', '214.6', '38.8', '42.6', '0.19', '0.20', '17.4', '19.0', '1896', '1944', '477', '505', '1419', '1641', '1072', '1053', '992', '1684', '921', '885', '', '', '613', '611', '97.1', '103.5', '105.4', '111.0', '1.09', '1.07', '351.4', '365.1', '199.2', '209.5', '', '', '635', '641', '45.8', '44.9', '33437', '37366', '2106', '2279']
['Athlete 7', 'Squat Jump', '12/12/2019 08:48', '66.7', 'Trial 1', '', '', '', '', '4.6', '7.4', '2.9', '6.2', '13.8', '4.6', '8.1', '-2.3', '23.6', '-4.4', '', '-2.1', '4.8', '4.5', '-0.3', '15.1', '3.8', '', '-0.5', '29.6', '21.7', '20.5', '', '', '208.4', '218.5', '41.9', '45.3', '0.20', '0.21', '18.4', '19.6', '2254', '2614', '493', '517', '1970', '2143', '1106', '1081', '1722', '2254', '925', '884', '', '', '631', '618', '103.2', '108.4', '105.2', '110.2', '1.02', '1.02', '326.7', '384.6', '205.4', '213.4', '', '', '646', '643', '37.5', '53.2', '32948', '42080', '2208', '2777']
['Athlete 7', 'Squat Jump', '12/12/2019 08:48', '66.7', 'Trial 2', '', '', '', '', '-0.6', '-2.8', '-2.2', '0.7', '7.0', '-0.6', '-38.8', '-9.4', '-63.8', '-2.0', '', '-1.2', '-3.0', '1.5', '4.5', '10.4', '-1.0', '', '0.4', '7.9', '27.0', '16.6', '', '', '223.9', '222.6', '37.5', '36.5', '0.17', '0.16', '17.3', '17.5', '1648', '1772', '484', '481', '1103', '675', '1029', '932', '818', '296', '838', '821', '', '', '617', '610', '104.6', '101.4', '119.3', '121.1', '1.14', '1.19', '350.7', '391.4', '220.4', '218.2', '', '', '644', '647', '34.3', '37.2', '47396', '64949', '2654', '3182']
['Athlete 7', 'Squat Jump', '12/12/2019 08:48', '66.7', 'Trial 3', '', '', '', '', '5.6', '9.1', '3.7', '8.6', '2.5', '5.6', '13.5', '-1.8', '41.1', '-3.9', '', '-0.3', '6.2', '5.0', '-1.2', '3.7', '4.9', '', '0.8', '-2.0', '10.5', '7.6', '', '', '202.5', '214.6', '38.8', '42.6', '0.19', '0.20', '17.4', '19.0', '1896', '1944', '477', '505', '1419', '1641', '1072', '1053', '992', '1684', '921', '885', '', '', '613', '611', '97.1', '103.5', '105.4', '111.0', '1.09', '1.07', '351.4', '365.1', '199.2', '209.5', '', '', '635', '641', '45.8', '44.9', '33437', '37366', '2106', '2279']
['Athlete 8', 'Squat Jump', '12/11/2019 09:29', '65.2', 'Trial 1', '', '', '', '', '1.1', '1.6', '0.6', '2.4', '9.7', '1.1', '-7.3', '-2.8', '-0.9', '-2.0', '', '2.7', '1.0', '1.1', '0.0', '-0.2', '0.4', '', '-0.3', '20.0', '8.8', '1.6', '', '', '220.7', '223.1', '38.0', '38.6', '0.17', '0.17', '17.6', '18.0', '1958', '2168', '449', '454', '1096', '1016', '532', '517', '1114', '1104', '791', '775', '', '', '591', '607', '101.3', '102.3', '119.4', '120.7', '1.18', '1.18', '478.3', '477.5', '217.1', '218.0', '', '', '634', '632', '25.9', '32.3', '18984', '20808', '1310', '1332']
['Athlete 8', 'Squat Jump', '12/11/2019 09:29', '65.2', 'Trial 2', '', '', '', '', '-2.5', '-3.1', '-0.6', '-4.2', '23.7', '-2.5', '7.5', '0.4', '0.0', '2.2', '', '1.7', '-3.3', '-1.9', '1.4', '1.6', '-3.3', '', '-1.1', '10.4', '21.7', '16.1', '', '', '233.2', '227.3', '37.3', '36.1', '0.16', '0.16', '17.5', '16.8', '1710', '2242', '450', '438', '917', '991', '663', '666', '644', '644', '670', '685', '', '', '580', '590', '111.0', '107.3', '122.3', '119.9', '1.10', '1.12', '479.9', '487.5', '229.6', '222.1', '', '', '617', '610', '30.5', '34.1', '15123', '19326', '1119', '1334']
['Athlete 8', 'Squat Jump', '12/11/2019 09:29', '65.2', 'Trial 1', '', '', '', '', '1.1', '1.6', '0.6', '2.4', '9.7', '1.1', '-7.3', '-2.8', '-0.9', '-2.0', '', '2.7', '1.0', '1.1', '0.0', '-0.2', '0.4', '', '-0.3', '20.0', '8.8', '1.6', '', '', '220.7', '223.1', '38.0', '38.6', '0.17', '0.17', '17.6', '18.0', '1958', '2168', '449', '454', '1096', '1016', '532', '517', '1114', '1104', '791', '775', '', '', '591', '607', '101.3', '102.3', '119.4', '120.7', '1.18', '1.18', '478.3', '477.5', '217.1', '218.0', '', '', '634', '632', '25.9', '32.3', '18984', '20808', '1310', '1332']
['Athlete 8', 'Squat Jump', '12/11/2019 09:29', '65.2', 'Trial 2', '', '', '', '', '-2.5', '-3.1', '-0.6', '-4.2', '23.7', '-2.5', '7.5', '0.4', '0.0', '2.2', '', '1.7', '-3.3', '-1.9', '1.4', '1.6', '-3.3', '', '-1.1', '10.4', '21.7', '16.1', '', '', '233.2', '227.3', '37.3', '36.1', '0.16', '0.16', '17.5', '16.8', '1710', '2242', '450', '438', '917', '991', '663', '666', '644', '644', '670', '685', '', '', '580', '590', '111.0', '107.3', '122.3', '119.9', '1.10', '1.12', '479.9', '487.5', '229.6', '222.1', '', '', '617', '610', '30.5', '34.1', '15123', '19326', '1119', '1334']
['Athlete 9', 'Squat Jump', '12/10/2019 15:34', '60.4', 'Trial 1', '', '', '', '', '-9.9', '-22.4', '-13.9', '-24.0', '-3.8', '-9.9', '-6.3', '2.2', '-40.9', '3.0', '', '-1.1', '-16.9', '-3.2', '14.2', '11.6', '-10.4', '', '-8.0', '32.4', '52.7', '43.3', '', '', '181.0', '163.1', '48.6', '37.7', '0.27', '0.23', '20.8', '15.8', '3294', '3170', '559', '504', '2651', '2484', '1932', '1976', '3208', '1896', '1907', '1966', '', '', '635', '628', '88.5', '73.5', '92.5', '89.6', '1.05', '1.22', '358.9', '406.1', '178.6', '159.9', '', '', '729', '671', '26.7', '39.4', '15964', '33765', '1149', '2026']
['Athlete 9', 'Squat Jump', '12/10/2019 15:34', '60.4', 'Trial 2', '', '', '', '', '-9.2', '-11.9', '-3.0', '-10.4', '-22.3', '-9.2', '-30.1', '-13.3', '-15.0', '-14.5', '', '-3.7', '-13.8', '-5.0', '9.2', '8.9', '-10.1', '', '-11.1', '9.4', '56.9', '37.8', '', '', '177.4', '161.0', '48.7', '42.9', '0.27', '0.27', '20.5', '18.4', '3892', '3024', '582', '529', '3295', '2304', '2336', '2026', '3542', '3010', '2537', '2168', '', '', '671', '646', '85.2', '73.5', '92.2', '87.6', '1.08', '1.19', '385.0', '422.5', '175.6', '157.9', '', '', '792', '704', '24.4', '26.9', '22505', '52158', '1395', '2243']
['Athlete 9', 'Squat Jump', '12/10/2019 15:34', '60.4', 'Trial 1', '', '', '', '', '-9.9', '-22.4', '-13.9', '-24.0', '-3.8', '-9.9', '-6.3', '2.2', '-40.9', '3.0', '', '-1.1', '-16.9', '-3.2', '14.2', '11.6', '-10.4', '', '-8.0', '32.4', '52.7', '43.3', '', '', '181.0', '163.1', '48.6', '37.7', '0.27', '0.23', '20.8', '15.8', '3294', '3170', '559', '504', '2651', '2484', '1932', '1976', '3208', '1896', '1907', '1966', '', '', '635', '628', '88.5', '73.5', '92.5', '89.6', '1.05', '1.22', '358.9', '406.1', '178.6', '159.9', '', '', '729', '671', '26.7', '39.4', '15964', '33765', '1149', '2026']
['Athlete 9', 'Squat Jump', '12/10/2019 15:34', '60.4', 'Trial 2', '', '', '', '', '-9.2', '-11.9', '-3.0', '-10.4', '-22.3', '-9.2', '-30.1', '-13.3', '-15.0', '-14.5', '', '-3.7', '-13.8', '-5.0', '9.2', '8.9', '-10.1', '', '-11.1', '9.4', '56.9', '37.8', '', '', '177.4', '161.0', '48.7', '42.9', '0.27', '0.27', '20.5', '18.4', '3892', '3024', '582', '529', '3295', '2304', '2336', '2026', '3542', '3010', '2537', '2168', '', '', '671', '646', '85.2', '73.5', '92.2', '87.6', '1.08', '1.19', '385.0', '422.5', '175.6', '157.9', '', '', '792', '704', '24.4', '26.9', '22505', '52158', '1395', '2243']
['Athlete 10', 'Squat Jump', '12/10/2019 15:33', '64.5', 'Trial 1', '', '', '', '', '2.8', '9.7', '7.1', '10.8', '1.9', '2.8', '3.2', '-7.2', '15.8', '-4.0', '', '-4.7', '6.2', '-0.8', '-7.0', '3.1', '2.4', '', '1.0', '-19.9', '30.5', '14.4', '', '', '181.4', '186.6', '43.0', '47.6', '0.24', '0.26', '17.3', '19.4', '3878', '3952', '520', '535', '2794', '2887', '1583', '1468', '2118', '2516', '2313', '2219', '', '', '620', '591', '89.1', '95.0', '92.3', '91.6', '1.04', '0.96', '368.2', '380.2', '178.0', '182.4', '', '', '643', '649', '25.8', '20.7', '27262', '39233', '1445', '1687']
['Athlete 10', 'Squat Jump', '12/10/2019 15:33', '64.5', 'Trial 2', '', '', '', '', '0.0', '7.1', '7.1', '6.7', '-18.0', '0.0', '4.3', '-6.8', '21.7', '-15.1', '', '-6.6', '3.5', '-3.2', '-6.6', '0.9', '0.1', '', '-4.3', '-11.9', '14.1', '2.3', '', '', '210.4', '210.5', '36.8', '39.6', '0.17', '0.19', '16.6', '17.8', '2838', '2328', '504', '504', '1518', '1586', '1419', '1323', '756', '966', '960', '816', '', '', '614', '574', '98.3', '101.9', '112.2', '108.6', '1.14', '1.07', '400.7', '404.4', '206.9', '207.1', '', '', '633', '606', '17.6', '15.5', '81412', '94727', '2035', '2084']
['Athlete 10', 'Squat Jump', '12/10/2019 15:33', '64.5', 'Trial 1', '', '', '', '', '2.8', '9.7', '7.1', '10.8', '1.9', '2.8', '3.2', '-7.2', '15.8', '-4.0', '', '-4.7', '6.2', '-0.8', '-7.0', '3.1', '2.4', '', '1.0', '-19.9', '30.5', '14.4', '', '', '181.4', '186.6', '43.0', '47.6', '0.24', '0.26', '17.3', '19.4', '3878', '3952', '520', '535', '2794', '2887', '1583', '1468', '2118', '2516', '2313', '2219', '', '', '620', '591', '89.1', '95.0', '92.3', '91.6', '1.04', '0.96', '368.2', '380.2', '178.0', '182.4', '', '', '643', '649', '25.8', '20.7', '27262', '39233', '1445', '1687']
['Athlete 10', 'Squat Jump', '12/10/2019 15:33', '64.5', 'Trial 2', '', '', '', '', '0.0', '7.1', '7.1', '6.7', '-18.0', '0.0', '4.3', '-6.8', '21.7', '-15.1', '', '-6.6', '3.5', '-3.2', '-6.6', '0.9', '0.1', '', '-4.3', '-11.9', '14.1', '2.3', '', '', '210.4', '210.5', '36.8', '39.6', '0.17', '0.19', '16.6', '17.8', '2838', '2328', '504', '504', '1518', '1586', '1419', '1323', '756', '966', '960', '816', '', '', '614', '574', '98.3', '101.9', '112.2', '108.6', '1.14', '1.07', '400.7', '404.4', '206.9', '207.1', '', '', '633', '606', '17.6', '15.5', '81412', '94727', '2035', '2084']
['Athlete 11', 'Squat Jump', '12/10/2019 10:43', '88.2', 'Trial 1', '', '', '', '', '13.5', '13.8', '0.4', '12.2', '6.0', '13.5', '68.1', '17.0', '-5.7', '8.0', '', '6.9', '18.0', '10.4', '-8.5', '14.3', '13.4', '', '9.7', '-25.8', '41.3', '20.4', '', '', '225.0', '260.0', '38.6', '44.8', '0.17', '0.17', '19.2', '21.8', '5254', '5588', '609', '703', '223', '700', '2174', '2620', '-446', '-422', '2058', '2238', '', '', '858', '921', '86.9', '106.0', '138.1', '154.1', '1.59', '1.45', '395.8', '462.1', '188.6', '217.8', '', '', '930', '1030', '55.0', '40.8', '24544', '41814', '1964', '2467']
['Athlete 11', 'Squat Jump', '12/10/2019 10:43', '88.2', 'Trial 2', '', '', '', '', '24.4', '27.8', '4.5', '23.7', '1.4', '24.4', '-73.2', '66.2', '-15.7', '6.6', '', '9.8', '34.9', '17.9', '-20.7', '-2.8', '22.6', '', '13.7', '-28.3', '-16.9', '-7.8', '', '', '237.8', '314.8', '31.2', '43.3', '0.13', '0.14', '17.2', '22.6', '5166', '5242', '534', '706', '-923', '-533', '573', '1697', '-1090', '-942', '1752', '1876', '', '', '847', '939', '78.5', '120.7', '159.3', '194.1', '2.03', '1.61', '473.7', '460.4', '189.9', '245.3', '', '', '926', '1073', '45.7', '32.8', '36148', '30035', '2314', '2132']
['Athlete 11', 'Squat Jump', '12/10/2019 10:43', '88.2', 'Trial 3', '', '', '', '', '17.1', '28.3', '13.5', '27.0', '-15.5', '17.1', '-100.0', '38.4', '-0.4', '-10.3', '', '-0.1', '31.8', '7.7', '-26.2', '19.8', '13.0', '', '5.9', '-11.7', '22.8', '19.5', '', '', '239.3', '288.7', '33.4', '46.6', '0.14', '0.16', '17.3', '23.7', '6888', '5822', '563', '680', '-595', '-254', '889', '1444', '-484', '-482', '2045', '1834', '', '', '911', '910', '77.0', '112.9', '162.3', '175.9', '2.11', '1.56', '432.0', '538.7', '186.5', '214.3', '', '', '984', '1046', '48.6', '42.9', '20626', '26730', '1506', '1871']
['Athlete 12', 'Squat Jump', '12/10/2019 10:09', '72.8', 'Trial 1', '', '', '', '', '0.3', '10.2', '10.0', '7.4', '11.8', '0.3', '28.5', '-15.2', '40.5', '-1.1', '', '-1.0', '6.5', '-4.8', '-11.0', '7.9', '2.3', '', '2.3', '-16.3', '15.2', '13.3', '', '', '223.1', '223.7', '38.7', '43.2', '0.17', '0.19', '18.3', '19.7', '2318', '2628', '537', '538', '935', '1307', '1238', '1050', '508', '854', '1350', '1335', '', '', '702', '696', '95.9', '102.6', '127.2', '121.1', '1.33', '1.18', '505.1', '548.3', '216.3', '221.3', '', '', '758', '775', '54.6', '45.7', '14301', '16872', '1287', '1485']
['Athlete 12', 'Squat Jump', '12/10/2019 10:09', '72.8', 'Trial 2', '', '', '', '', '-4.1', '-4.9', '-0.9', '-4.9', '23.8', '-4.1', '-26.4', '10.8', '-2.9', '5.0', '', '-3.4', '-5.2', '-3.2', '2.1', '0.4', '-2.8', '', '0.5', '14.7', '-5.8', '2.9', '', '', '233.9', '224.3', '42.0', '39.9', '0.18', '0.18', '19.6', '18.7', '1662', '2180', '555', '532', '1152', '848', '1072', '1202', '816', '792', '1213', '1277', '', '', '704', '679', '102.8', '97.4', '131.1', '126.9', '1.27', '1.30', '500.3', '502.4', '228.4', '222.0', '', '', '753', '757', '37.0', '43.3', '23183', '21838', '1739', '1791']
['Athlete 13', 'Squat Jump', '12/10/2019 09:55', '77.9', 'Trial 1', '', '', '', '', '10.7', '9.6', '-1.2', '10.2', '14.6', '10.7', '100.0', '10.7', '47.7', '7.0', '', '10.7', '9.5', '11.5', '2.2', '10.7', '10.2', '', '8.5', '-6.7', '40.7', '22.6', '', '', '260.5', '291.7', '34.0', '37.6', '0.13', '0.13', '17.1', '19.0', '3556', '4162', '517', '579', '-81', '-205', '851', '954', '-310', '-458', '1060', '1139', '', '', '720', '806', '104.1', '115.0', '156.4', '176.7', '1.50', '1.54', '399.6', '447.2', '208.3', '232.0', '', '', '775', '847', '48.2', '45.0', '28377', '47873', '1816', '2346']
['Athlete 13', 'Squat Jump', '12/10/2019 09:55', '77.9', 'Trial 2', '', '', '', '', '8.7', '13.7', '5.4', '12.7', '1.4', '8.7', '15.6', '-4.1', '24.7', '2.7', '', '6.2', '11.4', '6.7', '-5.0', '14.2', '8.8', '', '7.5', '22.8', '51.1', '39.4', '', '', '214.0', '234.4', '41.0', '47.5', '0.19', '0.20', '19.0', '21.8', '2614', '2650', '582', '638', '1270', '1505', '1896', '1818', '718', '954', '1746', '1794', '', '', '754', '804', '90.4', '102.0', '123.6', '132.4', '1.37', '1.30', '409.1', '476.7', '210.3', '230.5', '', '', '818', '884', '40.3', '52.1', '21761', '44530', '1458', '2405']
['Athlete 13', 'Squat Jump', '12/10/2019 09:55', '77.9', 'Trial 3', '', '', '', '', '11.7', '13.5', '2.1', '13.7', '-4.5', '11.7', '15.5', '3.1', '24.3', '-0.8', '', '7.1', '12.9', '10.6', '-2.6', '5.2', '10.4', '', '5.3', '43.3', '-25.8', '-1.6', '', '', '209.7', '237.4', '42.7', '49.4', '0.20', '0.21', '19.4', '22.4', '2776', '2652', '560', '634', '1388', '1642', '1543', '1592', '1116', '1474', '1727', '1713', '', '', '767', '826', '91.2', '104.8', '118.5', '132.6', '1.30', '1.27', '415.5', '438.5', '207.4', '231.5', '', '', '831', '878', '31.0', '54.7', '33613', '24929', '1748', '1720']
['Athlete 14', 'Squat Jump', '12/10/2019 09:49', '72.9', 'Trial 1', '', '', '', '', '-5.1', '-7.4', '-2.4', '-5.0', '-16.6', '-5.1', '53.6', '-69.1', '16.9', '10.6', '', '5.2', '-10.4', '-1.9', '8.7', '-10.0', '-4.5', '', '3.8', '15.4', '-32.3', '-10.7', '', '', '296.9', '281.7', '33.5', '31.0', '0.11', '0.11', '17.0', '16.2', '2452', '2044', '510', '484', '-323', '-496', '211', '65', '-508', '-594', '788', '882', '', '', '686', '724', '113.4', '101.6', '183.5', '180.1', '1.62', '1.77', '544.5', '489.8', '231.1', '220.8', '', '', '746', '775', '29.8', '35.2', '47947', '32469', '2254', '2013']
['Athlete 14', 'Squat Jump', '12/10/2019 09:49', '72.9', 'Trial 2', '', '', '', '', '-9.0', '-21.9', '-14.2', '-21.0', '29.9', '-9.0', '-31.0', '8.3', '-57.2', '22.2', '', '3.9', '-19.0', '-0.4', '18.7', '-9.6', '-9.1', '', '3.9', '-14.0', '7.2', '-9.3', '', '', '218.1', '198.6', '48.1', '37.5', '0.22', '0.19', '21.9', '17.3', '1772', '2528', '584', '531', '1598', '1102', '1397', '1524', '1622', '694', '1166', '1500', '', '', '700', '729', '100.7', '81.5', '117.5', '117.1', '1.17', '1.44', '503.6', '455.0', '214.9', '195.3', '', '', '740', '769', '28.9', '24.9', '25386', '27356', '1447', '1313']
['Athlete 14', 'Squat Jump', '12/10/2019 09:49', '72.9', 'Trial 3', '', '', '', '', '2.5', '2.2', '-0.3', '2.0', '-10.1', '2.5', '-55.8', '-12.1', '27.2', '3.5', '', '5.5', '-1.2', '5.1', '6.3', '-3.9', '0.3', '', '2.6', '13.5', '-5.1', '-3.1', '', '', '241.7', '247.8', '33.5', '34.2', '0.14', '0.14', '16.8', '17.2', '3074', '2762', '516', '529', '43', '19', '1351', '1187', '-272', '-346', '1057', '1096', '', '', '667', '706', '103.0', '101.7', '138.6', '146.1', '1.35', '1.44', '487.1', '468.3', '205.3', '206.0', '', '', '721', '740', '25.1', '29.0', '35688', '33882', '1749', '1694']
['Athlete 15', 'Squat Jump', '12/10/2019 09:26', '61.4', 'Trial 1', '', '', '', '', '4.6', '5.2', '0.6', '6.3', '7.5', '4.6', '100.0', '-100.0', '0.0', '2.6', '', '5.0', '1.5', '6.5', '5.1', '9.7', '5.1', '', '5.1', '38.3', '38.8', '29.8', '', '', '249.6', '261.7', '27.6', '29.1', '0.11', '0.11', '13.9', '14.8', '2750', '2972', '401', '420', '-99', '-247', '16', '-108', '0', '-222', '554', '569', '', '', '567', '597', '97.6', '99.1', '152.0', '162.6', '1.56', '1.64', '506.6', '561.0', '187.1', '197.2', '', '', '583', '614', '22.7', '36.8', '16390', '26785', '1147', '1634']
['Athlete 15', 'Squat Jump', '12/10/2019 09:26', '61.4', 'Trial 2', '', '', '', '', '3.1', '3.3', '0.2', '3.7', '19.0', '3.1', '39.5', '-100.0', '-23.8', '6.9', '', '5.0', '-2.1', '6.1', '8.1', '-1.6', '4.2', '', '5.7', '-3.3', '-10.2', '3.8', '', '', '248.4', '256.4', '27.2', '28.1', '0.11', '0.11', '14.0', '14.5', '2528', '3122', '409', '423', '-266', '-371', '49', '-123', '-322', '-260', '596', '640', '', '', '587', '617', '95.2', '93.2', '153.2', '163.2', '1.61', '1.75', '479.6', '472.0', '187.8', '196.1', '', '', '606', '642', '28.6', '27.7', '19595', '17594', '1117', '1161']
['Athlete 16', 'Squat Jump', '12/10/2019 09:25', '63.7', 'Trial 1', '', '', '', '', '3.1', '0.0', '-3.1', '0.9', '-8.8', '3.1', '47.7', '-15.4', '100.0', '-0.4', '', '2.6', '1.9', '3.8', '1.9', '-2.0', '1.8', '', '0.7', '-20.2', '13.3', '8.6', '', '', '267.5', '276.2', '28.6', '28.6', '0.11', '0.10', '14.6', '14.8', '3668', '3344', '413', '427', '-260', '-384', '-229', '-199', '-222', '-446', '644', '642', '', '', '640', '657', '95.6', '97.5', '171.9', '178.7', '1.80', '1.83', '459.8', '450.7', '196.4', '199.9', '', '', '671', '676', '34.1', '27.2', '25203', '29069', '1462', '1599']
['Athlete 16', 'Squat Jump', '12/10/2019 09:25', '63.7', 'Trial 2', '', '', '', '', '-6.5', '-9.3', '-3.0', '-9.4', '18.2', '-6.5', '-12.3', '-2.0', '-13.0', '4.5', '', '-2.2', '-8.7', '-4.8', '4.1', '-11.8', '-6.0', '', '-1.2', '-38.4', '-15.5', '-17.4', '', '', '194.3', '181.6', '42.4', '38.4', '0.22', '0.21', '18.7', '17.0', '2564', '3136', '528', '494', '1759', '1542', '1270', '1245', '1810', '1574', '1440', '1508', '', '', '684', '669', '86.0', '78.5', '108.3', '103.1', '1.26', '1.31', '511.7', '451.4', '190.8', '179.4', '', '', '725', '717', '25.9', '15.9', '55879', '47240', '2403', '1984']
['Athlete 16', 'Squat Jump', '12/10/2019 09:25', '63.7', 'Trial 3', '', '', '', '', '0.1', '-4.6', '-4.7', '-3.9', '4.1', '0.1', '55.4', '-0.3', '100.0', '5.9', '', '2.5', '-3.7', '2.4', '6.0', '-4.0', '0.9', '', '2.7', '-23.1', '-16.7', '-14.6', '', '', '217.4', '217.7', '30.1', '28.7', '0.14', '0.13', '15.1', '14.5', '2924', '3048', '477', '478', '-56', '-87', '1037', '1034', '-148', '-322', '1186', '1261', '', '', '702', '720', '83.1', '80.1', '134.3', '137.6', '1.62', '1.72', '479.5', '460.4', '178.6', '180.2', '', '', '748', '769', '24.7', '19.0', '58522', '48771', '2341', '2000']
['Athlete 17', 'Squat Jump', '12/10/2019 08:41', '66.1', 'Trial 1', '', '', '', '', '12.7', '10.6', '-2.4', '9.8', '-27.8', '12.7', '33.1', '52.0', '36.3', '5.5', '', '1.5', '16.2', '10.1', '-6.9', '-6.5', '12.5', '', '6.0', '-31.6', '-24.5', '-19.6', '', '', '213.7', '244.8', '33.8', '37.8', '0.16', '0.15', '16.2', '18.0', '2938', '2120', '445', '509', '477', '713', '354', '737', '348', '546', '952', '1008', '', '', '644', '654', '88.1', '105.1', '125.6', '139.7', '1.43', '1.33', '526.4', '492.0', '210.8', '240.9', '', '', '683', '727', '27.9', '19.1', '26304', '19859', '1210', '973']
