['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 0', 'Squat Jump', '2/11/2020 19:59', '65.8', 'Trial 1', '', '', '', '', '-11.6', '15.1', '25.0', '14.7', '-14.6', '-11.6', '-23.9', '100.0', '-100.0', '-55.7', '', '-34.7', '-0.6', '-18.1', '-17.6', '-12.7', '-17.5', '', '-25.6', '-64.9', '49.2', '1.2', '', '', '427.8', '378.1', '28.2', '33.2', '0.07', '0.09', '14.3', '16.8', '1436', '1226', '392', '346', '-192', '-155', '-31', '-276', '-148', '-50', '424', '188', '', '', '688', '450', '158.1', '157.2', '269.7', '220.8', '1.71', '1.40', '528.1', '461.0', '251.1', '207.2', '', '', '701', '522', '53.3', '18.7', '7213', '14191', '743', '752']
['Athlete 0', 'Squat Jump', '2/11/2020 19:59', '65.8', 'Trial 2', '', '', '', '', '-16.5', '27.3', '39.3', '26.6', '-7.4', '-16.4', '21.0', '-100.0', '28.7', '-74.6', '', '-40.4', '11.9', '-31.2', '-39.4', '-14.9', '-29.9', '', '-33.2', '-56.3', '21.4', '8.9', '', '', '399.1', '333.4', '25.4', '35.0', '0.06', '0.10', '13.0', '17.7', '1846', '1710', '404', '337', '-205', '-248', '9', '-251', '-174', '-224', '592', '151', '', '', '733', '437', '131.6', '149.4', '267.5', '184.0', '2.03', '1.23', '590.8', '502.6', '241.3', '169.2', '', '', '783', '523', '46.2', '20.2', '13631', '17346', '1090', '1197']
['Athlete 0', 'Squat Jump', '2/11/2020 19:59', '65.8', 'Trial 3', '', '', '', '', '-32.8', '-30.9', '2.8', '-29.2', '10.2', '-32.8', '-35.4', '-13.8', '-6.9', '-30.6', '', '-33.4', '-28.8', '-36.4', '-10.7', '-18.6', '-30.6', '', '-31.3', '-27.0', '-21.7', '-14.5', '', '', '270.0', '181.4', '44.9', '31.0', '0.17', '0.17', '21.1', '15.0', '1202', '1338', '549', '369', '1084', '700', '988', '852', '1078', '1004', '828', '575', '', '', '672', '447', '127.6', '90.9', '142.4', '90.5', '1.12', '1.00', '500.9', '407.8', '259.4', '180.0', '', '', '698', '480', '33.4', '24.4', '15375', '12033', '1168', '999']
['Athlete 0', 'Squat Jump', '2/5/2020 16:46', '64.7', 'Trial 1', '', '', '', '', '-19.1', '16.5', '32.4', '11.0', '-48.9', '-19.1', '100.0', '100.0', '100.0', '-64.7', '', '-40.1', '16.4', '-37.0', '-47.4', '-27.8', '-36.6', '', '-37.3', '-33.4', '-28.1', '-22.2', '', '', '401.6', '325.0', '26.8', '32.1', '0.07', '0.10', '14.2', '15.9', '2182', '1114', '409', '331', '-675', '124', '-285', '6', '-556', '50', '557', '196', '', '', '729', '437', '127.2', '152.2', '274.4', '172.8', '2.16', '1.14', '483.5', '349.1', '249.0', '157.8', '', '', '779', '489', '33.8', '22.5', '14156', '10172', '1019', '793']
['Athlete 0', 'Squat Jump', '2/5/2020 16:46', '64.7', 'Trial 2', '', '', '', '', '-24.5', '9.2', '31.4', '10.1', '-29.4', '-24.5', '13.9', '-25.6', '45.2', '-55.9', '', '-33.0', '-7.7', '-33.3', '-27.8', '-19.4', '-31.7', '', '-29.9', '-13.5', '-33.3', '-25.4', '', '', '408.2', '308.1', '28.0', '30.8', '0.07', '0.10', '14.2', '15.8', '1946', '1374', '426', '321', '-223', '-254', '-245', '-195', '-248', '-360', '524', '231', '', '', '726', '487', '140.1', '129.4', '268.0', '178.8', '1.91', '1.38', '669.6', '539.7', '270.1', '184.4', '', '', '746', '523', '35.9', '31.1', '18050', '12046', '1227', '916']
['Athlete 1', 'Squat Jump', '12/12/2019 15:48', '66.6', 'Trial 1', '', '', '', '', '-7.0', '-3.8', '3.3', '-5.2', '16.2', '-7.0', '-16.4', '17.1', '-47.0', '-1.4', '', '-14.6', '-5.8', '-7.5', '-1.8', '-6.6', '-5.3', '', '-3.6', '-15.1', '32.2', '26.1', '', '', '262.1', '243.8', '30.0', '28.9', '0.11', '0.12', '15.7', '14.9', '4174', '4982', '457', '425', '-483', '-415', '-359', '-421', '-544', '-370', '951', '938', '', '', '710', '607', '83.0', '78.2', '179.1', '165.6', '2.16', '2.12', '353.9', '330.5', '186.2', '176.2', '', '', '734', '707', '58.2', '49.4', '25108', '37007', '1833', '2480']
['Athlete 1', 'Squat Jump', '12/12/2019 15:48', '66.6', 'Trial 2', '', '', '', '', '-9.3', '-16.9', '-8.4', '-14.3', '26.2', '-9.3', '18.9', '-100.0', '25.6', '5.1', '', '-6.6', '-19.1', '-4.7', '15.1', '2.3', '-5.7', '', '-2.2', '12.5', '19.2', '13.9', '', '', '238.8', '216.6', '29.3', '24.4', '0.12', '0.11', '16.0', '13.7', '5304', '7186', '493', '447', '-954', '-1134', '248', '-75', '-868', '-1090', '1370', '1444', '', '', '706', '660', '76.2', '61.6', '162.6', '155.0', '2.13', '2.51', '334.6', '342.6', '181.2', '170.9', '', '', '778', '762', '55.4', '63.3', '20735', '25661', '1700', '1976']
['Athlete 1', 'Squat Jump', '12/12/2019 15:48', '66.6', 'Trial 1', '', '', '', '', '-7.0', '-3.8', '3.3', '-5.2', '16.2', '-7.0', '-16.4', '17.1', '-47.0', '-1.4', '', '-14.6', '-5.8', '-7.5', '-1.8', '-6.6', '-5.3', '', '-3.6', '-15.1', '32.2', '26.1', '', '', '262.1', '243.8', '30.0', '28.9', '0.11', '0.12', '15.7', '14.9', '4174', '4982', '457', '425', '-483', '-415', '-359', '-421', '-544', '-370', '951', '938', '', '', '710', '607', '83.0', '78.2', '179.1', '165.6', '2.16', '2.12', '353.9', '330.5', '186.2', '176.2', '', '', '734', '707', '58.2', '49.4', '25108', '37007', '1833', '2480']
['Athlete 1', 'Squat Jump', '12/12/2019 15:48', '66.6', 'Trial 2', '', '', '', '', '-9.3', '-16.9', '-8.4', '-14.3', '26.2', '-9.3', '18.9', '-100.0', '25.6', '5.1', '', '-6.6', '-19.1', '-4.7', '15.1', '2.3', '-5.7', '', '-2.2', '12.5', '19.2', '13.9', '', '', '238.8', '216.6', '29.3', '24.4', '0.12', '0.11', '16.0', '13.7', '5304', '7186', '493', '447', '-954', '-1134', '248', '-75', '-868', '-1090', '1370', '1444', '', '', '706', '660', '76.2', '61.6', '162.6', '155.0', '2.13', '2.51', '334.6', '342.6', '181.2', '170.9', '', '', '778', '762', '55.4', '63.3', '20735', '25661', '1700', '1976']
['Athlete 2', 'Squat Jump', '12/12/2019 11:31', '71.1', 'Trial 1', '', '', '', '', '-5.8', '-5.5', '0.3', '-4.6', '3.5', '-5.8', '-45.6', '-2.0', '79.1', '-6.3', '', '-7.2', '-3.1', '-7.7', '-4.7', '-8.8', '-4.8', '', '-5.1', '12.7', '35.3', '40.6', '', '', '286.9', '270.4', '32.7', '30.9', '0.11', '0.11', '16.6', '15.8', '3370', '3494', '521', '491', '-217', '-149', '1094', '1072', '-422', '-756', '828', '776', '', '', '726', '674', '119.0', '115.3', '167.9', '155.1', '1.41', '1.34', '534.0', '487.3', '239.8', '228.2', '', '', '739', '701', '23.1', '26.5', '20714', '32013', '1160', '1953']
['Athlete 2', 'Squat Jump', '12/12/2019 11:31', '71.1', 'Trial 2', '', '', '', '', '-6.5', '-3.9', '2.7', '-4.5', '10.1', '-6.5', '8.0', '-6.7', '19.5', '2.9', '', '-3.2', '-5.1', '-7.8', '-2.8', '-4.8', '-5.8', '', '-3.2', '13.5', '42.8', '27.8', '', '', '240.6', '224.9', '50.1', '48.1', '0.21', '0.21', '21.7', '20.7', '2962', '3296', '589', '550', '2218', '2410', '1202', '1122', '2554', '3172', '1144', '1178', '', '', '709', '687', '113.9', '108.1', '126.6', '116.8', '1.11', '1.08', '284.2', '270.7', '236.6', '222.8', '', '', '747', '724', '20.6', '23.8', '36719', '64164', '1946', '2695']
['Athlete 2', 'Squat Jump', '12/12/2019 11:31', '71.1', 'Trial 3', '', '', '', '', '-8.0', '-11.3', '-3.6', '-7.6', '7.2', '-8.0', '100.0', '-12.3', '100.0', '-7.2', '', '-5.1', '-7.5', '-8.4', '-1.0', '-9.7', '-7.1', '', '-5.1', '-10.4', '36.2', '29.2', '', '', '287.7', '264.6', '32.6', '28.9', '0.11', '0.11', '16.6', '15.3', '3990', '4300', '537', '494', '-211', '-520', '1354', '1187', '-410', '-1190', '882', '819', '', '', '726', '688', '119.5', '110.6', '168.2', '154.0', '1.41', '1.39', '539.0', '486.5', '240.9', '223.9', '', '', '747', '710', '41.6', '37.3', '13694', '21463', '1109', '1567']
['Athlete 3', 'Squat Jump', '12/12/2019 10:44', '63.3', 'Trial 1', '', '', '', '', '1.2', '6.8', '5.7', '6.5', '1.9', '1.2', '1.1', '-7.6', '-4.0', '-10.0', '', '-0.1', '4.7', '-1.7', '-6.3', '11.0', '1.5', '', '-1.2', '-5.5', '-2.4', '9.5', '', '', '205.8', '208.3', '37.4', '40.1', '0.18', '0.19', '16.8', '17.9', '1946', '1984', '497', '504', '1549', '1567', '1103', '1019', '1252', '1202', '1160', '1043', '', '', '658', '658', '91.4', '95.9', '114.3', '112.4', '1.25', '1.17', '462.2', '519.5', '202.3', '205.5', '', '', '677', '669', '25.0', '23.6', '42926', '41893', '2275', '2514']
['Athlete 3', 'Squat Jump', '12/12/2019 10:44', '63.3', 'Trial 2', '', '', '', '', '3.2', '5.8', '2.7', '4.2', '14.4', '3.2', '19.0', '7.7', '7.2', '2.1', '', '-0.8', '7.0', '0.1', '-7.0', '11.4', '4.3', '', '3.3', '-39.2', '-10.3', '-2.8', '', '', '196.9', '203.4', '38.4', '40.7', '0.19', '0.20', '17.2', '18.0', '2194', '2564', '494', '510', '1394', '1722', '964', '1044', '1426', '1536', '1249', '1276', '', '', '672', '666', '85.0', '91.4', '111.9', '111.9', '1.32', '1.22', '414.2', '467.7', '192.7', '201.4', '', '', '694', '717', '32.7', '19.9', '35597', '31934', '2136', '2076']
['Athlete 3', 'Squat Jump', '12/12/2019 10:44', '63.3', 'Trial 1', '', '', '', '', '1.2', '6.8', '5.7', '6.5', '1.9', '1.2', '1.1', '-7.6', '-4.0', '-10.0', '', '-0.1', '4.7', '-1.7', '-6.3', '11.0', '1.5', '', '-1.2', '-5.5', '-2.4', '9.5', '', '', '205.8', '208.3', '37.4', '40.1', '0.18', '0.19', '16.8', '17.9', '1946', '1984', '497', '504', '1549', '1567', '1103', '1019', '1252', '1202', '1160', '1043', '', '', '658', '658', '91.4', '95.9', '114.3', '112.4', '1.25', '1.17', '462.2', '519.5', '202.3', '205.5', '', '', '677', '669', '25.0', '23.6', '42926', '41893', '2275', '2514']
['Athlete 3', 'Squat Jump', '12/12/2019 10:44', '63.3', 'Trial 2', '', '', '', '', '3.2', '5.8', '2.7', '4.2', '14.4', '3.2', '19.0', '7.7', '7.2', '2.1', '', '-0.8', '7.0', '0.1', '-7.0', '11.4', '4.3', '', '3.3', '-39.2', '-10.3', '-2.8', '', '', '196.9', '203.4', '38.4', '40.7', '0.19', '0.20', '17.2', '18.0', '2194', '2564', '494', '510', '1394', '1722', '964', '1044', '1426', '1536', '1249', '1276', '', '', '672', '666', '85.0', '91.4', '111.9', '111.9', '1.32', '1.22', '414.2', '467.7', '192.7', '201.4', '', '', '694', '717', '32.7', '19.9', '35597', '31934', '2136', '2076']
['Athlete 4', 'Squat Jump', '12/12/2019 10:14', '64.4', 'Trial 1', '', '', '', '', '12.6', '15.2', '3.0', '15.8', '-8.9', '12.6', '38.6', '-6.0', '63.2', '2.3', '', '11.0', '13.8', '11.9', '-2.2', '10.9', '11.3', '', '7.6', '32.4', '22.3', '14.7', '', '', '198.8', '227.5', '30.7', '36.3', '0.15', '0.16', '15.1', '17.9', '3196', '2912', '437', '500', '137', '223', '517', '486', '100', '272', '1209', '1237', '', '', '665', '747', '76.0', '88.2', '122.8', '139.4', '1.62', '1.58', '461.2', '517.7', '197.5', '222.6', '', '', '726', '786', '27.6', '40.8', '20832', '26806', '1646', '1930']
['Athlete 4', 'Squat Jump', '12/12/2019 10:14', '64.4', 'Trial 2', '', '', '', '', '7.5', '12.6', '5.5', '12.5', '-25.9', '7.5', '17.4', '-2.2', '24.3', '-2.1', '', '3.2', '10.0', '5.5', '-4.8', '18.7', '6.9', '', '3.8', '25.4', '2.0', '-1.8', '', '', '178.9', '193.4', '37.2', '42.6', '0.21', '0.22', '16.6', '18.9', '2826', '2094', '510', '552', '1437', '1740', '1825', '1784', '1190', '1572', '1606', '1572', '', '', '664', '686', '77.5', '86.2', '101.4', '107.3', '1.31', '1.25', '394.5', '484.9', '176.6', '189.6', '', '', '716', '744', '28.1', '37.7', '18439', '18817', '1457', '1430']
['Athlete 4', 'Squat Jump', '12/12/2019 10:14', '64.4', 'Trial 1', '', '', '', '', '12.6', '15.2', '3.0', '15.8', '-8.9', '12.6', '38.6', '-6.0', '63.2', '2.3', '', '11.0', '13.8', '11.9', '-2.2', '10.9', '11.3', '', '7.6', '32.4', '22.3', '14.7', '', '', '198.8', '227.5', '30.7', '36.3', '0.15', '0.16', '15.1', '17.9', '3196', '2912', '437', '500', '137', '223', '517', '486', '100', '272', '1209', '1237', '', '', '665', '747', '76.0', '88.2', '122.8', '139.4', '1.62', '1.58', '461.2', '517.7', '197.5', '222.6', '', '', '726', '786', '27.6', '40.8', '20832', '26806', '1646', '1930']
['Athlete 4', 'Squat Jump', '12/12/2019 10:14', '64.4', 'Trial 2', '', '', '', '', '7.5', '12.6', '5.5', '12.5', '-25.9', '7.5', '17.4', '-2.2', '24.3', '-2.1', '', '3.2', '10.0', '5.5', '-4.8', '18.7', '6.9', '', '3.8', '25.4', '2.0', '-1.8', '', '', '178.9', '193.4', '37.2', '42.6', '0.21', '0.22', '16.6', '18.9', '2826', '2094', '510', '552', '1437', '1740', '1825', '1784', '1190', '1572', '1606', '1572', '', '', '664', '686', '77.5', '86.2', '101.4', '107.3', '1.31', '1.25', '394.5', '484.9', '176.6', '189.6', '', '', '716', '744', '28.1', '37.7', '18439', '18817', '1457', '1430']
['Athlete 5', 'Squat Jump', '12/12/2019 09:08', '58.5', 'Trial 1', '', '', '', '', '-0.3', '4.2', '4.5', '-0.1', '-4.1', '-0.3', '33.4', '14.0', '43.5', '6.1', '', '-4.0', '5.1', '-4.6', '-9.5', '-19.6', '1.6', '', '1.7', '-16.7', '-51.0', '-38.4', '', '', '172.8', '172.3', '35.0', '36.5', '0.20', '0.21', '15.8', '15.8', '2416', '2316', '483', '482', '1208', '1815', '1596', '1855', '770', '1362', '1567', '1669', '', '', '665', '638', '74.5', '78.6', '98.3', '93.7', '1.32', '1.19', '463.6', '372.7', '167.6', '170.3', '', '', '694', '705', '46.5', '38.7', '20697', '10148', '1449', '893']
['Athlete 5', 'Squat Jump', '12/12/2019 09:08', '58.5', 'Trial 2', '', '', '', '', '1.8', '5.8', '4.1', '9.1', '11.1', '1.8', '-9.3', '-3.9', '-13.3', '-3.0', '', '-3.1', '5.2', '-1.0', '-6.1', '-3.4', '2.5', '', '3.0', '-1.5', '15.3', '13.0', '', '', '152.2', '154.9', '37.4', '39.7', '0.25', '0.26', '15.5', '17.1', '3172', '3570', '513', '522', '2335', '2119', '2314', '2224', '1672', '1450', '2340', '2271', '', '', '695', '673', '65.7', '69.3', '86.4', '85.6', '1.32', '1.24', '418.8', '404.5', '148.7', '152.5', '', '', '741', '764', '39.6', '39.0', '17268', '20396', '1278', '1468']
['Athlete 5', 'Squat Jump', '12/12/2019 09:08', '58.5', 'Trial 1', '', '', '', '', '-0.3', '4.2', '4.5', '-0.1', '-4.1', '-0.3', '33.4', '14.0', '43.5', '6.1', '', '-4.0', '5.1', '-4.6', '-9.5', '-19.6', '1.6', '', '1.7', '-16.7', '-51.0', '-38.4', '', '', '172.8', '172.3', '35.0', '36.5', '0.20', '0.21', '15.8', '15.8', '2416', '2316', '483', '482', '1208', '1815', '1596', '1855', '770', '1362', '1567', '1669', '', '', '665', '638', '74.5', '78.6', '98.3', '93.7', '1.32', '1.19', '463.6', '372.7', '167.6', '170.3', '', '', '694', '705', '46.5', '38.7', '20697', '10148', '1449', '893']
['Athlete 5', 'Squat Jump', '12/12/2019 09:08', '58.5', 'Trial 2', '', '', '', '', '1.8', '5.8', '4.1', '9.1', '11.1', '1.8', '-9.3', '-3.9', '-13.3', '-3.0', '', '-3.1', '5.2', '-1.0', '-6.1', '-3.4', '2.5', '', '3.0', '-1.5', '15.3', '13.0', '', '', '152.2', '154.9', '37.4', '39.7', '0.25', '0.26', '15.5', '17.1', '3172', '3570', '513', '522', '2335', '2119', '2314', '2224', '1672', '1450', '2340', '2271', '', '', '695', '673', '65.7', '69.3', '86.4', '85.6', '1.32', '1.24', '418.8', '404.5', '148.7', '152.5', '', '', '741', '764', '39.6', '39.0', '17268', '20396', '1278', '1468']
