'Athlete 2','Countermovement Jump','1/29/2021 08:19','61.5','Trial 2','','48.9','0.71','604','1205','-23.4','-23.0','-15','-15.4','3005','1523','32.6','52.7','44.9
'Athlete 2','Countermovement Jump','1/29/2021 08:19','61.5','Trial 3','','45.8','0.77','605','1204','-18.3','-18.0','-14','-14.2','2815','1643','32.5','47.8','22.8
'Athlete 5','Countermovement Jump','1/29/2021 08:17','67.4','Trial 1','','44.5','0.54','661','1199','6.6','5.9','-12','-12.1','2998','1307','30.0','49.9','-22.2
'Athlete 5','Countermovement Jump','1/29/2021 08:17','67.4','Trial 2','','44.8','0.55','662','1213','6.4','14.1','-3','-2.6','3019','1426','32.6','44.7','20.1
'Athlete 5','Countermovement Jump','1/29/2021 08:17','67.4','Trial 3','','43.6','0.51','662','1166','10.2','7.8','-11','-10.7','2936','1372','31.0','42.2','-10.3
'Athlete 7','Countermovement Jump','11/17/2020 08:29','64.4','Trial 1','','48.7','0.64','632','1199','7.5','9.4','3','3.2','3139','1407','31.3','75.1','-16.0
'Athlete 7','Countermovement Jump','11/17/2020 08:29','64.4','Trial 2','','48.7','0.70','632','1213','-9.5','-5.9','8','7.6','3136','1504','31.0','109.2','12.3
'Athlete 7','Countermovement Jump','11/17/2020 08:29','64.4','Trial 3','','49.3','0.67','632','1162','-0.6','6.2','6','5.5','3172','1491','32.3','81.3','14.8
'Athlete 1','Countermovement Jump','11/17/2020 08:15','63.8','Trial 1','','36.7','0.45','626','1021','1.9','7.1','4','3.9','2341','1109','23.4','69.6','25.8
'Athlete 1','Countermovement Jump','11/17/2020 08:15','63.8','Trial 2','','37.7','0.44','626','1007','-13.2','-11.3','9','9.3','2405','1144','24.7','61.3','-4.5
'Athlete 1','Countermovement Jump','11/17/2020 08:15','63.8','Trial 3','','34.9','0.43','626','976','-12.2','-16.1','6','6.4','2224','1140','22.8','60.1','5.3
'Athlete 5','Countermovement Jump','11/17/2020 08:14','67.2','Trial 1','','40.0','0.50','659','1177','-5.0','-6.8','-10','-10.4','2691','1217','25.2','70.9','5.7
'Athlete 5','Countermovement Jump','11/17/2020 08:14','67.2','Trial 2','','39.2','0.48','660','1128','-3.8','-2.4','-17','-17.2','2631','1332','25.2','62.5','-27.3
'Athlete 5','Countermovement Jump','11/17/2020 08:14','67.2','Trial 3','','38.6','0.48','659','1104','-4.1','-3.1','-13','-12.9','2597','1321','26.2','46.7','-6.9
'Athlete 4','Countermovement Jump','11/13/2020 10:37','64.6','Trial 1','','40.6','0.57','634','1093','19.0','19.1','9','9.0','2625','1287','29.3','55.9','48.4
'Athlete 4','Countermovement Jump','11/13/2020 10:37','64.6','Trial 2','','38.8','0.55','634','1074','13.2','14.3','11','10.9','2510','1293','28.5','51.5','-38.3
'Athlete 4','Countermovement Jump','11/13/2020 10:37','64.6','Trial 3','','38.6','0.56','634','1084','22.5','18.0','10','10.3','2494','1350','28.4','58.1','3.5
'Athlete 2','Countermovement Jump','11/13/2020 10:36','60.1','Trial 1','','66.8','1.29','592','1712','-27.9','-26.5','-13','-12.5','4014','2514','33.8','69.2','19.9
'Athlete 2','Countermovement Jump','11/13/2020 10:36','60.1','Trial 2','','61.4','1.08','590','1582','-31.0','-32.9','-18','-17.6','3689','1953','36.1','63.3','19.7
'Athlete 2','Countermovement Jump','11/13/2020 10:36','60.1','Trial 3','','63.0','1.26','592','1640','-23.9','-25.2','-14','-13.7','3789','2125','36.0','70.2','14.3
'Athlete 8','Countermovement Jump','10/23/2020 17:24','73.4','Trial 1','','38.5','0.49','721','1192','-5.1','-11.2','-4','-4.0','2829','1325','26.6','104.8','15.4
'Athlete 8','Countermovement Jump','10/23/2020 17:24','73.4','Trial 2','','38.7','0.48','720','1174','-6.2','-4.4','-3','-2.7','2842','1326','26.6','131.2','23.5
'Athlete 8','Countermovement Jump','10/23/2020 17:24','73.4','Trial 3','','38.3','0.51','720','1198','-2.5','-1.8','0','0.1','2809','1430','26.3','112.2','16.7
'Athlete 1','Countermovement Jump','10/19/2020 15:24','60.9','Trial 1','','41.9','0.47','598','994','-10.9','-13.6','-1','-0.5','2550','1113','24.5','73.4','13.3
'Athlete 1','Countermovement Jump','10/19/2020 15:24','60.9','Trial 2','','41.3','0.46','598','972','-11.3','-12.6','3','3.2','2515','1136','26.2','57.6','-2.6
'Athlete 1','Countermovement Jump','10/19/2020 15:24','60.9','Trial 3','','41.2','0.53','598','1005','-5.3','-3.2','15','14.9','2507','1249','28.2','78.8','-9.4
'Athlete 9','Countermovement Jump','10/19/2020 15:23','64.1','Trial 1','','39.0','0.56','629','1140','1.1','-13.7','-3','-3.2','2498','1120','23.8','67.6','35.5
'Athlete 9','Countermovement Jump','10/19/2020 15:23','64.1','Trial 2','','38.0','0.59','629','1176','0.7','-6.6','5','4.7','2436','1344','23.8','66.8','14.1
'Athlete 9','Countermovement Jump','10/19/2020 15:23','64.1','Trial 3','','40.5','0.61','629','1197','-2.3','-10.3','3','3.0','2596','1310','25.2','76.0','19.2
'Athlete 9','Countermovement Jump','10/12/2020 15:25','63.8','Trial 1','','39.8','0.52','626','1109','-5.2','-12.7','4','4.1','2537','1064','23.5','72.6','39.2
'Athlete 9','Countermovement Jump','10/12/2020 15:25','63.8','Trial 2','','41.1','0.63','626','1200','0.2','-4.4','4','4.3','2624','1310','24.3','84.1','3.0
'Athlete 9','Countermovement Jump','10/12/2020 15:25','63.8','Trial 3','','40.0','0.55','626','1155','-17.1','-19.1','4','3.6','2553','1256','25.0','74.6','15.8
'Athlete 1','Countermovement Jump','10/12/2020 15:24','60.7','Trial 1','','41.0','0.43','596','976','-5.2','-6.2','17','17.2','2491','1042','25.6','65.3','17.0
'Athlete 1','Countermovement Jump','10/12/2020 15:24','60.7','Trial 2','','40.2','0.43','595','964','-8.2','-10.5','7','7.0','2441','1153','25.3','65.4','62.2
'Athlete 1','Countermovement Jump','10/12/2020 15:24','60.7','Trial 3','','39.0','0.44','595','967','-5.1','-3.8','14','13.5','2368','1163','26.4','46.1','1.2
'Athlete 5','Countermovement Jump','10/5/2020 08:15','67.6','Trial 1','','39.4','0.42','663','1142','-10.1','-7.7','-21','-20.6','2662','1166','22.8','55.8','-43.4
'Athlete 5','Countermovement Jump','10/5/2020 08:15','67.6','Trial 2','','38.9','0.44','664','1127','-0.2','0.1','-18','-17.9','2631','1269','24.3','47.4','-50.0
'Athlete 5','Countermovement Jump','10/5/2020 08:15','67.6','Trial 3','','40.0','0.43','664','1167','-3.8','-9.9','-11','-11.1','2704','1274','24.3','56.9','-8.2
'Athlete 9','Countermovement Jump','9/29/2020 10:22','62.1','Trial 1','','40.3','0.58','610','1133','10.6','3.0','2','1.7','2501','1132','24.6','59.1','32.0
'Athlete 9','Countermovement Jump','9/29/2020 10:22','62.1','Trial 2','','39.9','0.57','610','1116','6.3','-1.3','-7','-6.7','2476','1097','24.3','67.9','34.5
'Athlete 9','Countermovement Jump','9/29/2020 10:22','62.1','Trial 3','','39.7','0.52','610','1090','1.0','-5.6','0','-0.4','2468','1286','26.1','77.1','13.6
'Athlete 1','Countermovement Jump','9/28/2020 15:01','60.5','Trial 1','','38.5','0.49','594','976','-9.1','-5.8','16','15.8','2332','1192','26.3','67.2','2.2
'Athlete 1','Countermovement Jump','9/28/2020 15:01','60.5','Trial 2','','36.4','0.48','594','967','-10.6','-16.9','2','1.8','2200','1211','25.5','61.1','-25.8
'Athlete 1','Countermovement Jump','9/28/2020 15:01','60.5','Trial 3','','38.7','0.49','594','974','-4.5','0.1','18','17.5','2343','1230','26.7','51.5','-13.1
'Athlete 5','Countermovement Jump','9/28/2020 08:19','66.8','Trial 1','','43.5','0.50','656','1182','-7.6','-2.3','-15','-15.4','2905','1372','28.5','52.2','-49.8
